index,left,right,height,water,isMode,isPeak,isLowland
0,-3.90,-3.89,0.07611,0.07611,false,false,false
1,-3.89,-3.86,0.04151,0.04151,false,false,false
2,-3.86,-3.83,0.03013,0.03013,false,false,false
3,-3.83,-3.79,0.02534,0.02534,false,false,false
4,-3.79,-3.75,0.02327,0.02327,false,false,false
5,-3.75,-3.70,0.02256,0.02256,false,false,false
6,-3.70,-3.66,0.02258,0.02258,false,false,false
7,-3.66,-3.62,0.02289,0.02289,false,false,false
8,-3.62,-3.57,0.02318,0.02318,false,false,false
9,-3.57,-3.53,0.02327,0.02327,false,true,false
10,-3.53,-3.49,0.02307,0.02327,false,false,false
11,-3.49,-3.44,0.02266,0.02327,false,false,false
12,-3.44,-3.40,0.02214,0.02327,false,false,false
13,-3.40,-3.35,0.02164,0.02327,false,false,false
14,-3.35,-3.30,0.02126,0.02327,false,false,false
15,-3.30,-3.26,0.02103,0.02327,false,false,false
16,-3.26,-3.21,0.02098,0.02327,false,false,false
17,-3.21,-3.16,0.02112,0.02327,false,false,false
18,-3.16,-3.12,0.02142,0.02327,false,false,false
19,-3.12,-3.07,0.02186,0.02327,false,false,false
20,-3.07,-3.03,0.02242,0.02327,false,false,false
21,-3.03,-2.98,0.02304,0.02327,false,false,false
22,-2.98,-2.94,0.02368,0.02368,false,false,false
23,-2.94,-2.90,0.02430,0.02430,false,false,false
24,-2.90,-2.86,0.02485,0.02485,false,false,false
25,-2.86,-2.82,0.02530,0.02530,false,false,false
26,-2.82,-2.78,0.02560,0.02560,false,false,false
27,-2.78,-2.74,0.02574,0.02574,false,true,false
28,-2.74,-2.70,0.02572,0.02574,false,false,false
29,-2.70,-2.66,0.02555,0.02574,false,false,false
30,-2.66,-2.62,0.02525,0.02574,false,false,false
31,-2.62,-2.58,0.02485,0.02574,false,false,false
32,-2.58,-2.54,0.02439,0.02574,false,false,false
33,-2.54,-2.50,0.02390,0.02574,false,false,false
34,-2.50,-2.46,0.02340,0.02574,false,false,false
35,-2.46,-2.41,0.02293,0.02574,false,false,false
36,-2.41,-2.37,0.02249,0.02574,false,false,false
37,-2.37,-2.32,0.02210,0.02574,false,false,false
38,-2.32,-2.28,0.02178,0.02574,false,false,false
39,-2.28,-2.23,0.02152,0.02574,false,false,false
40,-2.23,-2.18,0.02134,0.02574,false,false,false
41,-2.18,-2.14,0.02123,0.02574,false,false,false
42,-2.14,-2.09,0.02119,0.02574,false,false,false
43,-2.09,-2.04,0.02123,0.02574,false,false,false
44,-2.04,-2.00,0.02134,0.02574,false,false,false
45,-2.00,-1.95,0.02152,0.02574,false,false,false
46,-1.95,-1.90,0.02177,0.02574,false,false,false
47,-1.90,-1.86,0.02209,0.02574,false,false,false
48,-1.86,-1.81,0.02246,0.02574,false,false,false
49,-1.81,-1.77,0.02290,0.02574,false,false,false
50,-1.77,-1.73,0.02339,0.02574,false,false,false
51,-1.73,-1.69,0.02393,0.02574,false,false,false
52,-1.69,-1.65,0.02452,0.02574,false,false,false
53,-1.65,-1.61,0.02516,0.02574,false,false,false
54,-1.61,-1.57,0.02583,0.02583,false,false,false
55,-1.57,-1.53,0.02654,0.02654,false,false,false
56,-1.53,-1.49,0.02729,0.02729,false,false,false
