index,left,right,height,water,isMode,isPeak,isLowland
0,-3.98,-3.96,0.03613,0.03613,false,false,false
1,-3.96,-3.91,0.02308,0.02308,false,false,false
2,-3.91,-3.86,0.02048,0.02048,false,false,false
3,-3.86,-3.81,0.01981,0.01981,false,false,false
4,-3.81,-3.76,0.01929,0.01929,false,false,false
5,-3.76,-3.71,0.01876,0.01876,false,false,false
6,-3.71,-3.65,0.01839,0.01839,false,false,false
7,-3.65,-3.60,0.01829,0.01829,false,false,false
8,-3.60,-3.55,0.01842,0.01842,false,false,false
9,-3.55,-3.49,0.01869,0.01869,false,false,false
10,-3.49,-3.44,0.01899,0.01899,false,false,false
11,-3.44,-3.39,0.01923,0.01923,false,false,false
12,-3.39,-3.34,0.01939,0.01939,false,false,false
13,-3.34,-3.28,0.01947,0.01947,false,false,false
14,-3.28,-3.23,0.01955,0.01955,false,false,false
15,-3.23,-3.18,0.01968,0.01968,false,false,false
16,-3.18,-3.13,0.01992,0.01992,false,false,false
17,-3.13,-3.08,0.02030,0.02030,false,false,false
18,-3.08,-3.03,0.02081,0.02081,false,false,false
19,-3.03,-2.99,0.02143,0.02143,false,false,false
20,-2.99,-2.94,0.02207,0.02207,false,false,false
21,-2.94,-2.90,0.02266,0.02266,false,false,false
22,-2.90,-2.86,0.02310,0.02310,false,false,false
23,-2.86,-2.81,0.02329,0.02329,false,true,false
24,-2.81,-2.77,0.02319,0.02329,false,false,false
25,-2.77,-2.73,0.02277,0.02329,false,false,false
26,-2.73,-2.68,0.02210,0.02329,false,false,false
27,-2.68,-2.63,0.02122,0.02329,false,false,false
28,-2.63,-2.58,0.02024,0.02329,false,false,false
29,-2.58,-2.53,0.01923,0.02329,false,false,false
30,-2.53,-2.48,0.01826,0.02329,false,false,false
31,-2.48,-2.42,0.01737,0.02329,false,false,false
32,-2.42,-2.36,0.01659,0.02329,false,false,false
33,-2.36,-2.30,0.01594,0.02329,false,false,false
34,-2.30,-2.23,0.01543,0.02329,false,false,false
35,-2.23,-2.16,0.01505,0.02329,false,false,false
36,-2.16,-2.10,0.01480,0.02329,false,false,false
37,-2.10,-2.03,0.01468,0.02329,false,false,false
38,-2.03,-1.96,0.01468,0.02329,false,false,false
39,-1.96,-1.89,0.01481,0.02329,false,false,false
40,-1.89,-1.83,0.01505,0.02329,false,false,false
41,-1.83,-1.76,0.01541,0.02329,false,false,false
42,-1.76,-1.70,0.01589,0.02329,false,false,false
43,-1.70,-1.64,0.01648,0.02329,false,false,false
44,-1.64,-1.58,0.01717,0.02329,false,false,false
45,-1.58,-1.52,0.01798,0.02329,false,false,false
46,-1.52,-1.47,0.01889,0.02329,false,false,false
47,-1.47,-1.42,0.01991,0.02329,false,false,false
48,-1.42,-1.37,0.02103,0.02329,false,false,false
49,-1.37,-1.33,0.02226,0.02329,false,false,false
50,-1.33,-1.29,0.02361,0.02361,false,false,false
51,-1.29,-1.25,0.02506,0.02506,false,false,false
52,-1.25,-1.21,0.02664,0.02664,false,false,false
53,-1.21,-1.17,0.02833,0.02833,false,false,false
54,-1.17,-1.14,0.03015,0.03015,false,false,false
55,-1.14,-1.11,0.03210,0.03210,false,false,false
56,-1.11,-1.08,0.03417,0.03417,false,false,false
57,-1.08,-1.05,0.03636,0.03636,false,false,false
58,-1.05,-1.03,0.03866,0.03866,false,false,false
59,-1.03,-1.00,0.04105,0.04105,false,false,false
60,-1.00,-0.98,0.04351,0.04351,false,false,false
61,-0.98,-0.96,0.04601,0.04601,false,false,false
62,-0.96,-0.94,0.04852,0.04852,false,false,false
63,-0.94,-0.92,0.05101,0.05101,false,false,false
64,-0.92,-0.90,0.05345,0.05345,false,false,false
65,-0.90,-0.88,0.05581,0.05581,false,false,false
66,-0.88,-0.86,0.05806,0.05806,false,false,false
67,-0.86,-0.85,0.06020,0.06020,false,false,false
68,-0.85,-0.83,0.06222,0.06222,false,false,false
69,-0.83,-0.82,0.06411,0.06411,false,false,false
70,-0.82,-0.80,0.06590,0.06590,false,false,false
71,-0.80,-0.79,0.06758,0.06758,false,false,false
