"distribution","p","n","estimator","efficiency"
"Uniform(a=0, b=1)",0.01,5,"hd",1.0303873109623
"Triangular(a=0, b=2, c=1)",0.01,5,"hd",1.02373198730049
"Triangular(a=0, b=2, c=0.2)",0.01,5,"hd",1.02888835178983
"Beta(a=2, b=4)",0.01,5,"hd",1.02818128226417
"Beta(a=2, b=10)",0.01,5,"hd",1.02767806181634
"Normal(m=0, sd=1)",0.01,5,"hd",1.01996427990786
"Weibull(scale=1, shape=2)",0.01,5,"hd",1.02739962383898
"Student(df=3)",0.01,5,"hd",1.00662653499994
"Gumbel(loc=0, scale=1)",0.01,5,"hd",1.02159736605947
"Exp(rate=1)",0.01,5,"hd",1.03706593532333
"Cauchy(x0=0, gamma=1)",0.01,5,"hd",0.95814895480099
"Pareto(loc=1, shape=0.5)",0.01,5,"hd",0.925130127651758
"Pareto(loc=1, shape=2)",0.01,5,"hd",1.04491288304257
"LogNormal(mlog=0, sdlog=1)",0.01,5,"hd",1.03239416001969
"LogNormal(mlog=0, sdlog=2)",0.01,5,"hd",1.07296414661034
"LogNormal(mlog=0, sdlog=3)",0.01,5,"hd",1.13460936859344
"Weibull(shape=0.3)",0.01,5,"hd",1.18289879770942
"Weibull(shape=0.5)",0.01,5,"hd",1.08120870928285
"Frechet(shape=1)",0.01,5,"hd",1.04007327866706
"Frechet(shape=3)",0.01,5,"hd",1.03017749614596
"Uniform(a=0, b=1)",0.02,5,"hd",1.05830786962964
"Triangular(a=0, b=2, c=1)",0.02,5,"hd",1.04206984229264
"Triangular(a=0, b=2, c=0.2)",0.02,5,"hd",1.06035331574489
"Beta(a=2, b=4)",0.02,5,"hd",1.05320049519317
"Beta(a=2, b=10)",0.02,5,"hd",1.05689098726433
"Normal(m=0, sd=1)",0.02,5,"hd",1.03784048006191
"Weibull(scale=1, shape=2)",0.02,5,"hd",1.05705524340397
"Student(df=3)",0.02,5,"hd",1.00501083850546
"Gumbel(loc=0, scale=1)",0.02,5,"hd",1.04848062439668
"Exp(rate=1)",0.02,5,"hd",1.07661024528722
"Cauchy(x0=0, gamma=1)",0.02,5,"hd",0.886064975000643
"Pareto(loc=1, shape=0.5)",0.02,5,"hd",0.640689478145712
"Pareto(loc=1, shape=2)",0.02,5,"hd",1.09968767527802
"LogNormal(mlog=0, sdlog=1)",0.02,5,"hd",1.0734594496434
"LogNormal(mlog=0, sdlog=2)",0.02,5,"hd",1.13059151400994
"LogNormal(mlog=0, sdlog=3)",0.02,5,"hd",1.2213299538034
"Weibull(shape=0.3)",0.02,5,"hd",1.31407957893536
"Weibull(shape=0.5)",0.02,5,"hd",1.12301183911528
"Frechet(shape=1)",0.02,5,"hd",1.08464105434607
"Frechet(shape=3)",0.02,5,"hd",1.06166674378714
"Uniform(a=0, b=1)",0.03,5,"hd",1.09264272547118
"Triangular(a=0, b=2, c=1)",0.03,5,"hd",1.06669456822029
"Triangular(a=0, b=2, c=0.2)",0.03,5,"hd",1.0952158544896
"Beta(a=2, b=4)",0.03,5,"hd",1.0748660953956
"Beta(a=2, b=10)",0.03,5,"hd",1.08278942512978
