n,factor
3,1.3507
4,1.37644
5,1.18794
6,1.1772
7,1.12869
8,1.1246
9,1.09191
10,1.09434
11,1.0764
12,1.07376
13,1.06312
14,1.06379
15,1.05354
16,1.05383
17,1.04811
18,1.04673
19,1.04203
20,1.04285
21,1.03765
22,1.03745
23,1.03516
24,1.03428
25,1.03139
26,1.03192
27,1.0291
28,1.02915
29,1.02715
30,1.02712
31,1.02504
32,1.02533
33,1.02376
34,1.02346
35,1.02234
36,1.02257
37,1.0211
38,1.02097
39,1.02011
40,1.01985
41,1.0189
42,1.01917
43,1.01806
44,1.018
45,1.01735
46,1.01722
47,1.01654
48,1.01655
49,1.01577
50,1.01577
51,1.01518
52,1.01524
53,1.01466
54,1.01458
55,1.01413
56,1.01404
57,1.01347
58,1.01369
59,1.01299
60,1.0131
61,1.01286
62,1.01258
63,1.0123
64,1.01237
65,1.01183
66,1.01194
67,1.01151
68,1.01145
69,1.01109
70,1.0112
71,1.01082
72,1.01089
73,1.01065
74,1.01056
75,1.01019
76,1.01023
77,1.01006
78,1.00999
79,1.00973
80,1.00977
81,1.00945
82,1.00949
83,1.00926
84,1.00923
85,1.00905
86,1.00903
87,1.00888
88,1.00879
89,1.00862
90,1.00864
91,1.00845
92,1.00843
93,1.00819
94,1.00821
95,1.00813
96,1.0082
97,1.0078
98,1.00789
99,1.00776
100,1.00778
109,1.007
110,1.00698
119,1.00643
120,1.00642
129,1.00585
130,1.00597
139,1.0055
140,1.00557
149,1.00516
150,1.00514
159,1.00484
160,1.00479
169,1.00452
170,1.0046
179,1.00429
180,1.00426
189,1.00401
190,1.00406
199,1.00378
200,1.00381
249,1.00307
250,1.00307
299,1.00258
300,1.00259
349,1.00219
350,1.00219
399,1.00192
400,1.0019
449,1.00173
450,1.00168
499,1.00151
500,1.00152
600,1.00126
700,1.00109
800,1.00094
900,1.00086
1000,1.00076
1500,1.0005
2000,1.00038
3000,1.00026
