es,bm,mw
0.1,0.07656,0.06836
0.15,0.09276,0.08258
0.2,0.11084,0.09908
0.25,0.13596,0.11788
0.3,0.15478,0.1431
0.35,0.18218,0.16982
0.4,0.21042,0.19178
0.45,0.24142,0.22358
0.5,0.27524,0.25536
0.55,0.31338,0.2878
0.6,0.3541,0.32616
0.65,0.38928,0.36706
0.7,0.43056,0.40322
0.75,0.46898,0.44856
0.8,0.5114,0.49008
0.85,0.55092,0.52482
0.9,0.5958,0.56816
0.95,0.63588,0.6104
1,0.67144,0.65026
1.05,0.7109,0.68438
1.1,0.74332,0.72274
1.15,0.77986,0.76092
1.2,0.80558,0.78496
1.25,0.83546,0.81508
1.3,0.857,0.84036
1.35,0.88026,0.86474
1.4,0.90064,0.88678
1.45,0.91664,0.90372
1.5,0.93324,0.92266
1.55,0.9457,0.9336
1.6,0.95494,0.94764
1.65,0.96396,0.95604
1.7,0.97048,0.96638
1.75,0.9779,0.97274
1.8,0.98312,0.97868
1.85,0.98608,0.98374
1.9,0.99008,0.98784
1.95,0.99244,0.99058
2,0.99398,0.99296
