es,rate,type
-1,0,t
-0.95,0,t
-0.9,0,t
-0.85,0,t
-0.8,0,t
-0.75,0,t
-0.7,0,t
-0.65,0,t
-0.6,1e-04,t
-0.55,0.00015,t
-0.5,2e-04,t
-0.45,5e-04,t
-0.4,0.00075,t
-0.35,0.00125,t
-0.3,0.0022,t
-0.25,0.0048,t
-0.2,0.0088,t
-0.15,0.01235,t
-0.1,0.02055,t
-0.0499999999999999,0.03105,t
0,0.0498,t
0.05,0.0705,t
0.1,0.1071,t
0.15,0.1413,t
0.2,0.1903,t
0.25,0.24185,t
0.3,0.30305,t
0.35,0.37975,t
0.4,0.4543,t
0.45,0.52825,t
0.5,0.6075,t
0.55,0.67455,t
0.6,0.7399,t
0.65,0.80125,t
0.7,0.8459,t
0.75,0.889,t
0.8,0.92255,t
0.85,0.946,t
0.9,0.9644,t
0.95,0.97775,t
1,0.985,t
1.05,0.9924,t
1.1,0.99395,t
1.15,0.99695,t
1.2,0.9983,t
1.25,0.99925,t
1.3,0.99975,t
1.35,0.99985,t
1.4,0.99995,t
1.45,0.99995,t
1.5,0.99995,t
1.55,1,t
1.6,1,t
1.65,1,t
1.7,1,t
1.75,1,t
1.8,1,t
1.85,1,t
1.9,1,t
1.95,1,t
2,1,t
-1,0,mw
-0.95,0,mw
-0.9,0,mw
-0.85,0,mw
-0.8,0,mw
-0.75,5e-05,mw
-0.7,0,mw
-0.65,0,mw
-0.6,1e-04,mw
-0.55,1e-04,mw
-0.5,0.00025,mw
-0.45,0.00045,mw
-0.4,9e-04,mw
-0.35,0.00175,mw
-0.3,0.0032,mw
-0.25,0.0042,mw
-0.2,0.00955,mw
-0.15,0.01545,mw
-0.1,0.0219,mw
-0.0499999999999999,0.0339,mw
0,0.04935,mw
0.05,0.07045,mw
0.1,0.1018,mw
0.15,0.1366,mw
0.2,0.18535,mw
0.25,0.23675,mw
0.3,0.2955,mw
0.35,0.36785,mw
0.4,0.43985,mw
0.45,0.51005,mw
0.5,0.58145,mw
0.55,0.6529,mw
0.6,0.72135,mw
0.65,0.78495,mw
0.7,0.82975,mw
0.75,0.8758,mw
0.8,0.91065,mw
0.85,0.9383,mw
0.9,0.95745,mw
0.95,0.9706,mw
1,0.9815,mw
1.05,0.99005,mw
1.1,0.9927,mw
1.15,0.99615,mw
1.2,0.99755,mw
1.25,0.99875,mw
1.3,0.9993,mw
1.35,0.99945,mw
1.4,0.99985,mw
1.45,0.99985,mw
1.5,1,mw
1.55,1,mw
1.6,1,mw
1.65,1,mw
1.7,1,mw
1.75,1,mw
1.8,1,mw
1.85,1,mw
1.9,1,mw
1.95,1,mw
2,1,mw
