ratio,rate,type
1,0.0455,t
1.2,0.0461,t
1.4,0.0509,t
1.6,0.0503,t
1.8,0.0463,t
2,0.0509,t
2.2,0.0472,t
2.4,0.0477,t
2.6,0.0506,t
2.8,0.0528,t
3,0.0502,t
3.2,0.0497,t
3.4,0.0458,t
3.6,0.0505,t
3.8,0.0502,t
4,0.0519,t
4.2,0.0486,t
4.4,0.0528,t
4.6,0.0511,t
4.8,0.0514,t
5,0.0524,t
5.2,0.0524,t
5.4,0.0479,t
5.6,0.0514,t
5.8,0.0502,t
6,0.047,t
6.2,0.0497,t
6.4,0.0486,t
6.6,0.0518,t
6.8,0.0567,t
7,0.0502,t
7.2,0.0507,t
7.4,0.0494,t
7.6,0.0537,t
7.8,0.0492,t
8,0.0508,t
8.2,0.0491,t
8.4,0.0537,t
8.6,0.0492,t
8.8,0.0483,t
9,0.0483,t
9.2,0.0483,t
9.4,0.0517,t
9.6,0.0485,t
9.8,0.0521,t
10,0.0506,t
1,0.0453,mw
1.2,0.0449,mw
1.4,0.043,mw
1.6,0.053,mw
1.8,0.0498,mw
2,0.053,mw
2.2,0.0505,mw
2.4,0.0589,mw
2.6,0.0576,mw
2.8,0.0632,mw
3,0.0621,mw
3.2,0.0627,mw
3.4,0.0646,mw
3.6,0.0636,mw
3.8,0.068,mw
4,0.0667,mw
4.2,0.0687,mw
4.4,0.0738,mw
4.6,0.0663,mw
4.8,0.07,mw
5,0.0672,mw
5.2,0.0762,mw
5.4,0.0756,mw
5.6,0.0736,mw
5.8,0.073,mw
6,0.0801,mw
6.2,0.0771,mw
6.4,0.0804,mw
6.6,0.0847,mw
6.8,0.0839,mw
7,0.0804,mw
7.2,0.0846,mw
7.4,0.0867,mw
7.6,0.0872,mw
7.8,0.0852,mw
8,0.0848,mw
8.2,0.0824,mw
8.4,0.0849,mw
8.6,0.0889,mw
8.8,0.086,mw
9,0.0852,mw
9.2,0.087,mw
9.4,0.0894,mw
9.6,0.0884,mw
9.8,0.0918,mw
10,0.0903,mw
1,0.0387,ab
1.2,0.0513,ab
1.4,0.0846,ab
1.6,0.141,ab
1.8,0.201,ab
2,0.2603,ab
2.2,0.3289,ab
2.4,0.379,ab
2.6,0.4317,ab
2.8,0.4837,ab
3,0.5333,ab
3.2,0.5774,ab
3.4,0.6065,ab
3.6,0.641,ab
3.8,0.6676,ab
4,0.6915,ab
4.2,0.7176,ab
4.4,0.7345,ab
4.6,0.7683,ab
4.8,0.7743,ab
5,0.7898,ab
5.2,0.8048,ab
5.4,0.8053,ab
5.6,0.836,ab
5.8,0.83,ab
6,0.8437,ab
6.2,0.851,ab
6.4,0.8634,ab
6.6,0.8701,ab
6.8,0.8702,ab
7,0.8777,ab
7.2,0.8801,ab
7.4,0.8873,ab
7.6,0.8976,ab
7.8,0.8966,ab
8,0.8982,ab
8.2,0.9053,ab
8.4,0.9083,ab
8.6,0.9046,ab
8.8,0.9129,ab
9,0.9173,ab
9.2,0.9209,ab
9.4,0.9183,ab
9.6,0.9216,ab
9.8,0.927,ab
10,0.9251,ab
