index,left,right,height,water,isMode,isPeak,isLowland
0,1.0000000,4.0489912,0.00328,0.00328,false,false,false
1,4.0489912,6.8716453,0.00354,0.00354,false,false,false
2,6.8716453,7.7374137,0.01155,0.01155,false,false,false
3,7.7374137,8.0393634,0.03312,0.03312,false,false,false
4,8.0393634,8.2731492,0.04277,0.04277,false,false,false
5,8.2731492,8.4831945,0.04761,0.04761,false,false,false
6,8.4831945,8.6589679,0.05689,0.05689,false,false,false
7,8.6589679,8.7991645,0.07133,0.07133,false,false,false
8,8.7991645,8.9125776,0.08817,0.08817,false,false,false
9,8.9125776,9.0108623,0.10175,0.10175,false,false,false
10,9.0108623,9.1026820,0.10891,0.10891,false,false,false
11,9.1026820,9.1915679,0.11250,0.11250,false,false,false
12,9.1915679,9.2774599,0.11643,0.11643,false,false,false
13,9.2774599,9.3593200,0.12216,0.12216,false,false,false
14,9.3593200,9.4363090,0.12989,0.12989,false,false,false
15,9.4363090,9.5076309,0.14021,0.14021,false,false,false
16,9.5076309,9.5725270,0.15409,0.15409,false,false,false
17,9.5725270,9.6308887,0.17135,0.17135,false,false,false
18,9.6308887,9.6837037,0.18934,0.18934,false,false,false
19,9.6837037,9.7327086,0.20406,0.20406,false,false,false
20,9.7327086,9.7795803,0.21335,0.21335,false,false,false
21,9.7795803,9.8254179,0.21816,0.21816,false,false,false
22,9.8254179,9.8708234,0.22024,0.22024,true,true,false
23,9.8708234,9.9162892,0.21995,0.21995,false,false,false
24,9.9162892,9.9624446,0.21666,0.21666,false,false,false
25,9.9624446,10.0099974,0.21029,0.21029,false,false,false
26,10.0099974,10.0595144,0.20195,0.20195,false,false,false
27,10.0595144,10.1112557,0.19327,0.19327,false,false,false
28,10.1112557,10.1651543,0.18553,0.18553,false,false,false
29,10.1651543,10.2208989,0.17939,0.17939,false,false,false
30,10.2208989,10.2780539,0.17496,0.17496,false,false,false
31,10.2780539,10.3361933,0.17200,0.17200,false,false,false
32,10.3361933,10.3950631,0.16987,0.16987,false,false,false
33,10.3950631,10.4547762,0.16747,0.16747,false,false,false
34,10.4547762,10.5160033,0.16333,0.16711,false,false,true
35,10.5160033,10.5801108,0.15599,0.16711,false,false,true
36,10.5801108,10.6492565,0.14462,0.16711,false,false,true
37,10.6492565,10.7266072,0.12928,0.16711,false,false,true
38,10.7266072,10.8170251,0.11060,0.16711,false,false,true
39,10.8170251,10.9286837,0.08956,0.16711,false,false,true
40,10.9286837,11.0759240,0.06792,0.16711,false,false,true
41,11.0759240,11.2830795,0.04827,0.16711,false,false,true
42,11.2830795,11.5879667,0.03280,0.16711,false,false,true
43,11.5879667,12.0425976,0.02200,0.16711,false,false,true
44,12.0425976,12.7081987,0.01502,0.16711,false,false,true
45,12.7081987,13.6427512,0.01070,0.16711,false,false,true
46,13.6427512,14.8823799,0.00807,0.16711,false,false,true
47,14.8823799,16.4220367,0.00649,0.16711,false,false,true
48,16.4220367,18.2037227,0.00561,0.16711,false,false,true
49,18.2037227,20.1194919,0.00522,0.16711,false,false,true
50,20.1194919,22.0310549,0.00523,0.16711,false,false,true
51,22.0310549,23.8003144,0.00565,0.16711,false,false,true
52,23.8003144,25.3198199,0.00658,0.16711,false,false,true
53,25.3198199,26.5322256,0.00825,0.16711,false,false,true
54,26.5322256,27.4332597,0.01110,0.16711,false,false,true
55,27.4332597,28.0601203,0.01595,0.16711,false,false,true
56,28.0601203,28.4724350,0.02425,0.16711,false,false,true
57,28.4724350,28.7337870,0.03826,0.16711,false,false,true
58,28.7337870,28.8990580,0.06051,0.16711,false,false,true
59,28.8990580,29.0089174,0.09103,0.16711,false,false,true
60,29.0089174,29.0898873,0.12350,0.16711,false,false,true
61,29.0898873,29.1573610,0.14821,0.16711,false,false,true
62,29.1573610,29.2193233,0.16139,0.16711,false,false,true
63,29.2193233,29.2794734,0.16625,0.16711,false,false,true
64,29.2794734,29.3393156,0.16711,0.16711,false,true,true
65,29.3393156,29.3993182,0.16666,0.16711,false,false,false
66,29.3993182,29.4594533,0.16629,0.16711,false,false,false
67,29.4594533,29.5194262,0.16674,0.16711,false,false,false
68,29.5194262,29.5788069,0.16840,0.16840,false,false,false
69,29.5788069,29.6371524,0.17139,0.17139,false,false,false
70,29.6371524,29.6941220,0.17553,0.17553,false,false,false
71,29.6941220,29.7495481,0.18042,0.18042,false,false,false
72,29.7495481,29.8034446,0.18554,0.18554,false,false,false
73,29.8034446,29.8559853,0.19033,0.19033,false,false,false
74,29.8559853,29.9075325,0.19400,0.19400,false,false,false
75,29.9075325,29.9587659,0.19519,0.19519,true,true,false
76,29.9587659,30.0108326,0.19206,0.19206,false,false,false
77,30.0108326,30.0653010,0.18359,0.18359,false,false,false
78,30.0653010,30.1237208,0.17117,0.17117,false,false,false
79,30.1237208,30.1868835,0.15832,0.15832,false,false,false
80,30.1868835,30.2542591,0.14842,0.14842,false,false,false
81,30.2542591,30.3241780,0.14302,0.14302,false,false,false
82,30.3241780,30.3948410,0.14152,0.14159,false,false,false
83,30.3948410,30.4654659,0.14159,0.14159,false,true,false
84,30.4654659,30.5365619,0.14066,0.14066,false,false,false
85,30.5365619,30.6090242,0.13800,0.13800,false,false,false
86,30.6090242,30.6829942,0.13519,0.13519,false,false,false
87,30.6829942,30.7578795,0.13354,0.13354,false,false,false
88,30.7578795,30.8337243,0.13185,0.13185,false,false,false
89,30.8337243,30.9123222,0.12723,0.12723,false,false,false
90,30.9123222,30.9963890,0.11895,0.11895,false,false,false
91,30.9963890,31.0871982,0.11012,0.11012,false,false,false
92,31.0871982,31.1828689,0.10453,0.10609,false,false,false
93,31.1828689,31.2791918,0.10382,0.10609,false,false,false
94,31.2791918,31.3734473,0.10609,0.10609,false,true,false
95,31.3734473,31.4743197,0.09914,0.09914,false,false,false
96,31.4743197,31.6740856,0.05006,0.05006,false,false,false
97,31.6740856,32.5776569,0.01107,0.01107,false,false,false
98,32.5776569,35.6992789,0.00320,0.00320,false,false,false
99,35.6992789,39.0000000,0.00303,0.00303,false,false,false

