index,left,right,height,water,isMode,isPeak,isLowland
0,-1.4954372,-1.4938250,0.62026,0.62026,false,false,false
1,-1.4938250,-1.4909736,0.35071,0.35071,false,false,false
2,-1.4909736,-1.4875267,0.29012,0.29012,false,false,false
3,-1.4875267,-1.4833920,0.24185,0.24185,false,false,false
4,-1.4833920,-1.4784122,0.20081,0.20081,false,false,false
5,-1.4784122,-1.4726989,0.17503,0.17503,false,false,false
6,-1.4726989,-1.4665746,0.16329,0.16329,false,false,false
7,-1.4665746,-1.4603405,0.16041,0.16041,false,false,false
8,-1.4603405,-1.4542119,0.16317,0.16317,false,false,false
9,-1.4542119,-1.4483828,0.17155,0.17155,false,false,false
10,-1.4483828,-1.4430143,0.18627,0.18627,false,false,false
11,-1.4430143,-1.4381615,0.20607,0.20607,false,false,false
12,-1.4381615,-1.4337580,0.22710,0.22710,false,false,false
13,-1.4337580,-1.4296730,0.24479,0.24479,false,false,false
14,-1.4296730,-1.4257729,0.25641,0.25641,false,false,false
15,-1.4257729,-1.4219463,0.26133,0.26133,false,true,false
16,-1.4219463,-1.4180973,0.25981,0.26133,false,false,false
17,-1.4180973,-1.4141383,0.25259,0.26133,false,false,false
18,-1.4141383,-1.4099924,0.24120,0.26133,false,false,false
19,-1.4099924,-1.4056049,0.22792,0.26133,false,false,false
20,-1.4056049,-1.4009524,0.21494,0.26133,false,false,false
21,-1.4009524,-1.3960453,0.20379,0.26133,false,false,false
22,-1.3960453,-1.3909236,0.19525,0.26133,false,false,false
23,-1.3909236,-1.3856465,0.18950,0.26133,false,false,false
24,-1.3856465,-1.3802809,0.18637,0.26133,false,false,false
25,-1.3802809,-1.3748890,0.18546,0.26133,false,false,false
26,-1.3748890,-1.3695188,0.18621,0.26133,false,false,false
27,-1.3695188,-1.3642001,0.18802,0.26133,false,false,false
28,-1.3642001,-1.3589465,0.19034,0.26133,false,false,false
29,-1.3589465,-1.3537627,0.19291,0.26133,false,false,false
30,-1.3537627,-1.3486535,0.19573,0.26133,false,false,false
31,-1.3486535,-1.3436301,0.19907,0.26133,false,false,false
32,-1.3436301,-1.3387105,0.20327,0.26133,false,false,false
33,-1.3387105,-1.3339152,0.20853,0.26133,false,false,false
34,-1.3339152,-1.3292586,0.21475,0.26133,false,false,false
35,-1.3292586,-1.3247436,0.22148,0.26133,false,false,false
36,-1.3247436,-1.3203583,0.22804,0.26133,false,false,false
37,-1.3203583,-1.3160794,0.23370,0.26133,false,false,false
38,-1.3160794,-1.3118777,0.23800,0.26133,false,false,false
39,-1.3118777,-1.3077251,0.24081,0.26133,false,false,false
40,-1.3077251,-1.3035999,0.24241,0.26133,false,false,false
41,-1.3035999,-1.2994883,0.24322,0.26133,false,false,false
42,-1.2994883,-1.2953834,0.24361,0.26133,false,false,false
43,-1.2953834,-1.2912818,0.24380,0.26133,false,true,false
44,-1.2912818,-1.2871799,0.24379,0.26133,false,false,false
45,-1.2871799,-1.2830715,0.24340,0.26133,false,false,false
46,-1.2830715,-1.2789464,0.24242,0.26133,false,false,false
47,-1.2789464,-1.2747910,0.24065,0.26133,false,false,false
48,-1.2747910,-1.2705900,0.23804,0.26133,false,false,false
49,-1.2705900,-1.2663285,0.23466,0.26133,false,false,false
50,-1.2663285,-1.2619940,0.23071,0.26133,false,false,false
51,-1.2619940,-1.2575779,0.22644,0.26133,false,false,false
52,-1.2575779,-1.2530760,0.22212,0.26133,false,false,false
53,-1.2530760,-1.2484879,0.21796,0.26133,false,false,false
54,-1.2484879,-1.2438169,0.21409,0.26133,false,false,false
55,-1.2438169,-1.2390682,0.21058,0.26133,false,false,false
56,-1.2390682,-1.2342480,0.20746,0.26133,false,false,false
57,-1.2342480,-1.2293630,0.20471,0.26133,false,false,false
58,-1.2293630,-1.2244201,0.20231,0.26133,false,false,false
59,-1.2244201,-1.2194270,0.20028,0.26133,false,false,false
60,-1.2194270,-1.2143929,0.19864,0.26133,false,false,false
61,-1.2143929,-1.2093293,0.19749,0.26133,false,false,false
62,-1.2093293,-1.2042510,0.19692,0.26133,false,false,false
63,-1.2042510,-1.1991765,0.19706,0.26133,false,false,false
64,-1.1991765,-1.1941276,0.19806,0.26133,false,false,false
65,-1.1941276,-1.1891288,0.20005,0.26133,false,false,false
66,-1.1891288,-1.1842059,0.20313,0.26133,false,false,false
67,-1.1842059,-1.1793844,0.20740,0.26133,false,false,false
68,-1.1793844,-1.1746875,0.21290,0.26133,false,false,false
69,-1.1746875,-1.1701341,0.21962,0.26133,false,false,false
70,-1.1701341,-1.1657380,0.22747,0.26133,false,false,false
71,-1.1657380,-1.1615062,0.23631,0.26133,false,false,false
72,-1.1615062,-1.1574388,0.24586,0.26133,false,false,false
73,-1.1574388,-1.1535290,0.25577,0.26133,false,false,false
74,-1.1535290,-1.1497637,0.26559,0.26559,false,false,false
75,-1.1497637,-1.1461247,0.27480,0.27480,false,false,false
76,-1.1461247,-1.1425896,0.28288,0.28288,false,false,false
77,-1.1425896,-1.1391331,0.28931,0.28931,false,false,false
78,-1.1391331,-1.1357286,0.29372,0.29372,false,false,false
79,-1.1357286,-1.1323489,0.29589,0.29589,false,true,false
80,-1.1323489,-1.1289678,0.29576,0.29589,false,false,false
81,-1.1289678,-1.1255605,0.29349,0.29589,false,false,false
82,-1.1255605,-1.1221048,0.28938,0.29589,false,false,false
83,-1.1221048,-1.1185815,0.28382,0.29589,false,false,false
84,-1.1185815,-1.1149749,0.27727,0.29589,false,false,false
85,-1.1149749,-1.1112738,0.27019,0.29589,false,false,false
86,-1.1112738,-1.1074714,0.26299,0.29589,false,false,false
87,-1.1074714,-1.1035658,0.25604,0.29589,false,false,false
88,-1.1035658,-1.0995601,0.24965,0.29589,false,false,false
89,-1.0995601,-1.0954629,0.24407,0.29589,false,false,false
90,-1.0954629,-1.0912873,0.23949,0.29589,false,false,false
91,-1.0912873,-1.0870510,0.23606,0.29589,false,false,false
92,-1.0870510,-1.0827753,0.23388,0.29589,false,false,false
93,-1.0827753,-1.0784839,0.23302,0.29589,false,false,false
94,-1.0784839,-1.0742018,0.23353,0.29589,false,false,false
95,-1.0742018,-1.0699535,0.23539,0.29589,false,false,false
96,-1.0699535,-1.0657618,0.23857,0.29589,false,false,false
97,-1.0657618,-1.0616462,0.24297,0.29589,false,false,false
98,-1.0616462,-1.0576215,0.24847,0.29589,false,false,false
99,-1.0576215,-1.0536974,0.25484,0.29589,false,false,false
100,-1.0536974,-1.0498777,0.26180,0.29589,false,false,false
101,-1.0498777,-1.0461606,0.26903,0.29589,false,false,false
102,-1.0461606,-1.0425388,0.27610,0.29589,false,false,false
103,-1.0425388,-1.0390003,0.28261,0.29589,false,false,false
104,-1.0390003,-1.0355295,0.28812,0.29589,false,false,false
105,-1.0355295,-1.0321083,0.29229,0.29589,false,false,false
106,-1.0321083,-1.0287169,0.29487,0.29589,false,false,false
107,-1.0287169,-1.0253355,0.29573,0.29589,false,true,false
108,-1.0253355,-1.0219446,0.29491,0.29589,false,false,false
109,-1.0219446,-1.0185264,0.29255,0.29589,false,false,false
110,-1.0185264,-1.0150651,0.28891,0.29589,false,false,false
111,-1.0150651,-1.0115477,0.28430,0.29589,false,false,false
112,-1.0115477,-1.0079641,0.27905,0.29589,false,false,false
113,-1.0079641,-1.0043077,0.27350,0.29589,false,false,false
114,-1.0043077,-1.0005753,0.26792,0.29589,false,false,false
115,-1.0005753,-0.9967669,0.26258,0.29589,false,false,false
116,-0.9967669,-0.9928862,0.25768,0.29589,false,false,false
117,-0.9928862,-0.9889396,0.25338,0.29589,false,false,false
118,-0.9889396,-0.9849365,0.24981,0.29589,false,false,false
119,-0.9849365,-0.9808888,0.24705,0.29589,false,false,false
120,-0.9808888,-0.9768100,0.24517,0.29589,false,false,false
121,-0.9768100,-0.9727148,0.24419,0.29589,false,false,false
122,-0.9727148,-0.9686185,0.24412,0.29589,false,false,false
123,-0.9686185,-0.9645363,0.24497,0.29589,false,false,false
124,-0.9645363,-0.9604826,0.24669,0.29589,false,false,false
125,-0.9604826,-0.9564704,0.24924,0.29589,false,false,false
126,-0.9564704,-0.9525107,0.25254,0.29589,false,false,false
127,-0.9525107,-0.9486123,0.25651,0.29589,false,false,false
128,-0.9486123,-0.9447812,0.26103,0.29589,false,false,false
129,-0.9447812,-0.9410212,0.26595,0.29589,false,false,false
130,-0.9410212,-0.9373331,0.27114,0.29589,false,false,false
131,-0.9373331,-0.9337157,0.27644,0.29589,false,false,false
132,-0.9337157,-0.9301656,0.28169,0.29589,false,false,false
133,-0.9301656,-0.9266780,0.28673,0.29589,false,false,false
134,-0.9266780,-0.9232469,0.29145,0.29589,false,false,false
135,-0.9232469,-0.9198656,0.29574,0.29589,false,false,false
136,-0.9198656,-0.9165270,0.29953,0.29953,false,false,false
