index,left,right,height,water,isMode,isPeak,isLowland
0,-3.97,-3.96,0.06571,0.06571,false,false,false
1,-3.96,-3.93,0.03245,0.03245,false,false,false
2,-3.93,-3.88,0.02330,0.02330,false,false,false
3,-3.88,-3.84,0.02047,0.02047,false,false,false
4,-3.84,-3.79,0.02031,0.02031,false,false,false
5,-3.79,-3.74,0.02160,0.02160,false,false,false
6,-3.74,-3.70,0.02362,0.02362,false,false,false
7,-3.70,-3.66,0.02569,0.02569,false,false,false
8,-3.66,-3.62,0.02712,0.02712,false,false,false
9,-3.62,-3.59,0.02746,0.02746,false,true,false
10,-3.59,-3.55,0.02666,0.02746,false,false,false
11,-3.55,-3.51,0.02506,0.02746,false,false,false
12,-3.51,-3.46,0.02308,0.02746,false,false,false
13,-3.46,-3.42,0.02110,0.02746,false,false,false
14,-3.42,-3.37,0.01933,0.02746,false,false,false
15,-3.37,-3.31,0.01788,0.02746,false,false,false
16,-3.31,-3.25,0.01677,0.02746,false,false,false
17,-3.25,-3.19,0.01600,0.02746,false,false,false
18,-3.19,-3.12,0.01553,0.02746,false,false,false
19,-3.12,-3.06,0.01534,0.02746,false,false,false
20,-3.06,-2.99,0.01540,0.02746,false,false,false
21,-2.99,-2.93,0.01567,0.02746,false,false,false
22,-2.93,-2.87,0.01614,0.02746,false,false,false
23,-2.87,-2.81,0.01677,0.02746,false,false,false
24,-2.81,-2.75,0.01750,0.02746,false,false,false
25,-2.75,-2.70,0.01829,0.02746,false,false,false
26,-2.70,-2.64,0.01906,0.02746,false,false,false
27,-2.64,-2.59,0.01976,0.02746,false,false,false
28,-2.59,-2.54,0.02032,0.02746,false,false,false
29,-2.54,-2.49,0.02070,0.02746,false,false,false
30,-2.49,-2.45,0.02088,0.02746,false,true,false
31,-2.45,-2.40,0.02087,0.02746,false,false,false
32,-2.40,-2.35,0.02071,0.02746,false,false,false
33,-2.35,-2.30,0.02043,0.02746,false,false,false
34,-2.30,-2.25,0.02010,0.02746,false,false,false
35,-2.25,-2.20,0.01974,0.02746,false,false,false
36,-2.20,-2.15,0.01940,0.02746,false,false,false
37,-2.15,-2.10,0.01909,0.02746,false,false,false
38,-2.10,-2.04,0.01885,0.02746,false,false,false
39,-2.04,-1.99,0.01867,0.02746,false,false,false
40,-1.99,-1.94,0.01857,0.02746,false,false,false
41,-1.94,-1.88,0.01855,0.02746,false,false,false
42,-1.88,-1.83,0.01861,0.02746,false,false,false
43,-1.83,-1.78,0.01875,0.02746,false,false,false
44,-1.78,-1.72,0.01896,0.02746,false,false,false
45,-1.72,-1.67,0.01925,0.02746,false,false,false
46,-1.67,-1.62,0.01961,0.02746,false,false,false
47,-1.62,-1.57,0.02003,0.02746,false,false,false
48,-1.57,-1.52,0.02053,0.02746,false,false,false
49,-1.52,-1.47,0.02109,0.02746,false,false,false
50,-1.47,-1.43,0.02172,0.02746,false,false,false
51,-1.43,-1.38,0.02240,0.02746,false,false,false
52,-1.38,-1.34,0.02315,0.02746,false,false,false
53,-1.34,-1.30,0.02396,0.02746,false,false,false
54,-1.30,-1.26,0.02484,0.02746,false,false,false
55,-1.26,-1.22,0.02578,0.02746,false,false,false
56,-1.22,-1.18,0.02680,0.02746,false,false,false
57,-1.18,-1.15,0.02789,0.02789,false,false,false
58,-1.15,-1.11,0.02906,0.02906,false,false,false
59,-1.11,-1.08,0.03032,0.03032,false,false,false
60,-1.08,-1.05,0.03168,0.03168,false,false,false
61,-1.05,-1.02,0.03314,0.03314,false,false,false
62,-1.02,-0.99,0.03471,0.03471,false,false,false
63,-0.99,-0.96,0.03641,0.03641,false,false,false
64,-0.96,-0.93,0.03823,0.03823,false,false,false
65,-0.93,-0.91,0.04020,0.04020,false,false,false
66,-0.91,-0.89,0.04231,0.04231,false,false,false
67,-0.89,-0.86,0.04457,0.04457,false,false,false
68,-0.86,-0.84,0.04698,0.04698,false,false,false
69,-0.84,-0.82,0.04955,0.04955,false,false,false
70,-0.82,-0.80,0.05226,0.05226,false,false,false
71,-0.80,-0.79,0.05512,0.05512,false,false,false
72,-0.79,-0.77,0.05810,0.05810,false,false,false
73,-0.77,-0.75,0.06120,0.06120,false,false,false
74,-0.75,-0.74,0.06438,0.06438,false,false,false
75,-0.74,-0.72,0.06761,0.06761,false,false,false
76,-0.72,-0.71,0.07087,0.07087,false,false,false
77,-0.71,-0.69,0.07410,0.07410,false,false,false
78,-0.69,-0.68,0.07727,0.07727,false,false,false
79,-0.68,-0.67,0.08033,0.08033,false,false,false
80,-0.67,-0.66,0.08325,0.08325,false,false,false
81,-0.66,-0.64,0.08598,0.08598,false,false,false
82,-0.64,-0.63,0.08849,0.08849,false,false,false
83,-0.63,-0.62,0.09076,0.09076,false,false,false
84,-0.62,-0.61,0.09278,0.09278,false,false,false
85,-0.61,-0.60,0.09454,0.09454,false,false,false
86,-0.60,-0.59,0.09603,0.09603,false,false,false
87,-0.59,-0.58,0.09729,0.09729,false,false,false
88,-0.58,-0.57,0.09830,0.09830,false,false,false
89,-0.57,-0.56,0.09911,0.09911,false,false,false
90,-0.56,-0.55,0.09973,0.09973,false,false,false
91,-0.55,-0.54,0.10019,0.10019,false,false,false
92,-0.54,-0.53,0.10050,0.10050,false,false,false
93,-0.53,-0.52,0.10070,0.10070,false,false,false
94,-0.52,-0.51,0.10080,0.10080,false,false,false
95,-0.51,-0.50,0.10082,0.10082,true,true,false
96,-0.50,-0.49,0.10078,0.10078,false,false,false
97,-0.49,-0.48,0.10068,0.10068,false,false,false
98,-0.48,-0.47,0.10053,0.10053,false,false,false
99,-0.47,-0.46,0.10035,0.10035,false,false,false
100,-0.46,-0.45,0.10014,0.10014,false,false,false
101,-0.45,-0.44,0.09989,0.09989,false,false,false
102,-0.44,-0.43,0.09962,0.09962,false,false,false
103,-0.43,-0.42,0.09932,0.09932,false,false,false
104,-0.42,-0.41,0.09900,0.09900,false,false,false
105,-0.41,-0.40,0.09864,0.09864,false,false,false
106,-0.40,-0.39,0.09826,0.09826,false,false,false
107,-0.39,-0.38,0.09785,0.09785,false,false,false
108,-0.38,-0.37,0.09740,0.09740,false,false,false
109,-0.37,-0.36,0.09693,0.09693,false,false,false
110,-0.36,-0.35,0.09642,0.09642,false,false,false
111,-0.35,-0.34,0.09588,0.09588,false,false,false
112,-0.34,-0.33,0.09532,0.09532,false,false,false
113,-0.33,-0.32,0.09472,0.09472,false,false,false
114,-0.32,-0.31,0.09410,0.09410,false,false,false
115,-0.31,-0.30,0.09346,0.09346,false,false,false
116,-0.30,-0.29,0.09279,0.09279,false,false,false
117,-0.29,-0.27,0.09211,0.09211,false,false,false
118,-0.27,-0.26,0.09142,0.09142,false,false,false
119,-0.26,-0.25,0.09072,0.09072,false,false,false
120,-0.25,-0.24,0.09002,0.09002,false,false,false
121,-0.24,-0.23,0.08931,0.08931,false,false,false
122,-0.23,-0.22,0.08862,0.08872,false,false,false
123,-0.22,-0.21,0.08793,0.08872,false,false,false
124,-0.21,-0.20,0.08725,0.08872,false,false,false
125,-0.20,-0.18,0.08659,0.08872,false,false,false
126,-0.18,-0.17,0.08594,0.08872,false,false,false
127,-0.17,-0.16,0.08532,0.08872,false,false,false
128,-0.16,-0.15,0.08472,0.08872,false,false,false
129,-0.15,-0.14,0.08414,0.08872,false,false,false
130,-0.14,-0.13,0.08359,0.08872,false,false,false
131,-0.13,-0.11,0.08306,0.08872,false,false,false
132,-0.11,-0.10,0.08257,0.08872,false,false,false
133,-0.10,-0.09,0.08210,0.08872,false,false,false
134,-0.09,-0.08,0.08166,0.08872,false,false,false
135,-0.08,-0.06,0.08125,0.08872,false,false,false
136,-0.06,-0.05,0.08087,0.08872,false,false,false
137,-0.05,-0.04,0.08053,0.08872,false,false,false
138,-0.04,-0.03,0.08022,0.08872,false,false,false
139,-0.03,-0.01,0.07994,0.08872,false,false,false
140,-0.01,-0.00,0.07970,0.08872,false,false,false
141,-0.00,0.01,0.07949,0.08872,false,false,false
142,0.01,0.02,0.07932,0.08872,false,false,false
143,0.02,0.04,0.07919,0.08872,false,false,false
144,0.04,0.05,0.07911,0.08872,false,false,false
145,0.05,0.06,0.07906,0.08872,false,false,false
146,0.06,0.07,0.07906,0.08872,false,false,false
147,0.07,0.09,0.07910,0.08872,false,false,false
148,0.09,0.10,0.07918,0.08872,false,false,false
149,0.10,0.11,0.07931,0.08872,false,false,false
150,0.11,0.12,0.07948,0.08872,false,false,false
151,0.12,0.14,0.07970,0.08872,false,false,false
152,0.14,0.15,0.07996,0.08872,false,false,false
153,0.15,0.16,0.08027,0.08872,false,false,false
154,0.16,0.17,0.08062,0.08872,false,false,false
155,0.17,0.19,0.08100,0.08872,false,false,false
156,0.19,0.20,0.08142,0.08872,false,false,false
157,0.20,0.21,0.08188,0.08872,false,false,false
158,0.21,0.22,0.08236,0.08872,false,false,false
159,0.22,0.23,0.08286,0.08872,false,false,false
160,0.23,0.25,0.08338,0.08872,false,false,false
161,0.25,0.26,0.08392,0.08872,false,false,false
162,0.26,0.27,0.08446,0.08872,false,false,false
163,0.27,0.28,0.08499,0.08872,false,false,false
164,0.28,0.29,0.08552,0.08872,false,false,false
165,0.29,0.31,0.08603,0.08872,false,false,false
166,0.31,0.32,0.08652,0.08872,false,false,false
167,0.32,0.33,0.08698,0.08872,false,false,false
168,0.33,0.34,0.08739,0.08872,false,false,false
169,0.34,0.35,0.08776,0.08872,false,false,false
170,0.35,0.36,0.08808,0.08872,false,false,false
171,0.36,0.37,0.08834,0.08872,false,false,false
172,0.37,0.39,0.08854,0.08872,false,false,false
173,0.39,0.40,0.08866,0.08872,false,false,false
174,0.40,0.41,0.08872,0.08872,false,true,false
175,0.41,0.42,0.08870,0.08870,false,false,false
176,0.42,0.43,0.08861,0.08861,false,false,false
177,0.43,0.44,0.08844,0.08844,false,false,false
178,0.44,0.45,0.08819,0.08819,false,false,false
179,0.45,0.46,0.08787,0.08787,false,false,false
180,0.46,0.48,0.08748,0.08748,false,false,false
181,0.48,0.49,0.08703,0.08703,false,false,false
182,0.49,0.50,0.08650,0.08650,false,false,false
183,0.50,0.51,0.08592,0.08592,false,false,false
184,0.51,0.52,0.08528,0.08528,false,false,false
185,0.52,0.53,0.08460,0.08460,false,false,false
186,0.53,0.55,0.08387,0.08387,false,false,false
187,0.55,0.56,0.08310,0.08310,false,false,false
188,0.56,0.57,0.08229,0.08229,false,false,false
189,0.57,0.58,0.08146,0.08146,false,false,false
190,0.58,0.60,0.08060,0.08060,false,false,false
191,0.60,0.61,0.07972,0.07972,false,false,false
192,0.61,0.62,0.07883,0.07883,false,false,false
193,0.62,0.63,0.07793,0.07793,false,false,false
194,0.63,0.65,0.07702,0.07702,false,false,false
195,0.65,0.66,0.07611,0.07611,false,false,false
196,0.66,0.67,0.07519,0.07519,false,false,false
197,0.67,0.69,0.07428,0.07428,false,false,false
198,0.69,0.70,0.07337,0.07337,false,false,false
199,0.70,0.71,0.07246,0.07246,false,false,false
200,0.71,0.73,0.07156,0.07156,false,false,false
201,0.73,0.74,0.07067,0.07067,false,false,false
202,0.74,0.76,0.06979,0.06979,false,false,false
203,0.76,0.77,0.06891,0.06891,false,false,false
204,0.77,0.79,0.06805,0.06805,false,false,false
205,0.79,0.80,0.06720,0.06720,false,false,false
206,0.80,0.82,0.06636,0.06636,false,false,false
207,0.82,0.83,0.06553,0.06553,false,false,false
208,0.83,0.85,0.06471,0.06471,false,false,false
209,0.85,0.86,0.06390,0.06390,false,false,false
210,0.86,0.88,0.06310,0.06310,false,false,false
211,0.88,0.89,0.06232,0.06232,false,false,false
212,0.89,0.91,0.06154,0.06154,false,false,false
213,0.91,0.93,0.06078,0.06078,false,false,false
214,0.93,0.94,0.06004,0.06004,false,false,false
215,0.94,0.96,0.05930,0.05930,false,false,false
216,0.96,0.98,0.05858,0.05858,false,false,false
217,0.98,0.99,0.05787,0.05787,false,false,false
218,0.99,1.01,0.05718,0.05718,false,false,false
219,1.01,1.03,0.05649,0.05699,false,false,true
220,1.03,1.05,0.05582,0.05699,false,false,true
221,1.05,1.07,0.05517,0.05699,false,false,true
222,1.07,1.08,0.05452,0.05699,false,false,true
223,1.08,1.10,0.05389,0.05699,false,false,true
224,1.10,1.12,0.05327,0.05699,false,false,true
225,1.12,1.14,0.05266,0.05699,false,false,true
226,1.14,1.16,0.05206,0.05699,false,false,true
227,1.16,1.18,0.05147,0.05699,false,false,true
228,1.18,1.20,0.05090,0.05699,false,false,true
229,1.20,1.22,0.05032,0.05699,false,false,true
230,1.22,1.24,0.04976,0.05699,false,false,true
231,1.24,1.26,0.04920,0.05699,false,false,true
232,1.26,1.28,0.04864,0.05699,false,false,true
233,1.28,1.30,0.04809,0.05699,false,false,true
234,1.30,1.32,0.04754,0.05699,false,false,true
235,1.32,1.34,0.04698,0.05699,false,false,true
236,1.34,1.36,0.04643,0.05699,false,false,true
237,1.36,1.39,0.04587,0.05699,false,false,true
238,1.39,1.41,0.04531,0.05699,false,false,true
239,1.41,1.43,0.04475,0.05699,false,false,true
240,1.43,1.45,0.04418,0.05699,false,false,true
241,1.45,1.48,0.04361,0.05699,false,false,true
242,1.48,1.50,0.04303,0.05699,false,false,true
