distribution,x,pdf
"Beta(2,2)",0,0
"Beta(2,2)",0.001,0.005993999905410757
"Beta(2,2)",0.002,0.011975999811010881
"Beta(2,2)",0.003,0.01794599971680037
"Beta(2,2)",0.004,0.02390399962277925
"Beta(2,2)",0.005,0.02984999952894748
"Beta(2,2)",0.006,0.03578399943530504
"Beta(2,2)",0.007,0.041705999341852026
"Beta(2,2)",0.008,0.04761599924858833
"Beta(2,2)",0.009000000000000001,0.05351399915551403
"Beta(2,2)",0.01,0.05939999906262917
"Beta(2,2)",0.011,0.06527399896993356
"Beta(2,2)",0.012,0.07113599887742733
"Beta(2,2)",0.013000000000000001,0.07698599878511049
"Beta(2,2)",0.014,0.08282399869298304
"Beta(2,2)",0.015,0.088649998601045
"Beta(2,2)",0.016,0.09446399850929624
"Beta(2,2)",0.017,0.10026599841773694
"Beta(2,2)",0.018000000000000002,0.10605599832636693
"Beta(2,2)",0.019,0.11183399823518636
"Beta(2,2)",0.02,0.1175999981441951
"Beta(2,2)",0.021,0.12335399805339325
"Beta(2,2)",0.022,0.12909599796278065
"Beta(2,2)",0.023,0.1348259978723575
"Beta(2,2)",0.024,0.1405439977821237
"Beta(2,2)",0.025,0.1462499976920793
"Beta(2,2)",0.026000000000000002,0.1519439976022243
"Beta(2,2)",0.027,0.1576259975125586
"Beta(2,2)",0.028,0.16329599742308226
"Beta(2,2)",0.029,0.16895399733379535
"Beta(2,2)",0.03,0.17459999724469774
"Beta(2,2)",0.031,0.18023399715578953
"Beta(2,2)",0.032,0.18585599706707073
"Beta(2,2)",0.033,0.19146599697854133
"Beta(2,2)",0.034,0.19706399689020113
"Beta(2,2)",0.035,0.20264999680205042
"Beta(2,2)",0.036000000000000004,0.20822399671408903
"Beta(2,2)",0.037,0.2137859966263171
"Beta(2,2)",0.038,0.2193359965387344
"Beta(2,2)",0.039,0.22487399645134115
"Beta(2,2)",0.04,0.23039999636413727
"Beta(2,2)",0.041,0.23591399627712273
"Beta(2,2)",0.042,0.24141599619029755
"Beta(2,2)",0.043000000000000003,0.24690599610366182
"Beta(2,2)",0.044,0.25238399601721534
"Beta(2,2)",0.045,0.2578499959309583
"Beta(2,2)",0.046,0.2633039958448905
"Beta(2,2)",0.047,0.2687459957590123
"Beta(2,2)",0.048,0.2741759956733233
"Beta(2,2)",0.049,0.2795939955878237
"Beta(2,2)",0.05,0.28499999550251354
"Beta(2,2)",0.051000000000000004,0.29039399541739275
"Beta(2,2)",0.052000000000000005,0.29577599533246113
"Beta(2,2)",0.053,0.301145995247719
"Beta(2,2)",0.054,0.30650399516316634
"Beta(2,2)",0.055,0.311849995078803
"Beta(2,2)",0.056,0.317183994994629
"Beta(2,2)",0.057,0.32250599491064424
"Beta(2,2)",0.058,0.327815994826849
"Beta(2,2)",0.059000000000000004,0.3331139947432431
"Beta(2,2)",0.06,0.33839999465982656
