distribution,x,pdf
"0",500,0.001
"0",501,0.001
"0",502,0.001
"0",503,0.001
"0",504,0.001
"0",505,0.001
"0",506,0.001
"0",507,0.001
"0",508,0.001
"0",509,0.001
"0",510,0.001
"0",511,0.001
"0",512,0.001
"0",513,0.001
"0",514,0.001
"0",515,0.001
"0",516,0.001
"0",517,0.001
"0",518,0.001
"0",519,0.001
"0",520,0.001
"0",521,0.001
"0",522,0.001
"0",523,0.001
"0",524,0.001
"0",525,0.001
"0",526,0.001
"0",527,0.001
"0",528,0.001
"0",529,0.001
"0",530,0.001
"0",531,0.001
"0",532,0.001
"0",533,0.001
"0",534,0.001
"0",535,0.001
"0",536,0.001
"0",537,0.001
"0",538,0.001
"0",539,0.001
"0",540,0.001
"0",541,0.001
"0",542,0.001
"0",543,0.001
"0",544,0.001
"0",545,0.001
"0",546,0.001
"0",547,0.001
"0",548,0.001
"0",549,0.001
"0",550,0.001
"0",551,0.001
"0",552,0.001
"0",553,0.001
"0",554,0.001
"0",555,0.001
"0",556,0.001
"0",557,0.001
"0",558,0.001
"0",559,0.001
"0",560,0.001
"0",561,0.001
"0",562,0.001
"0",563,0.001
"0",564,0.001
"0",565,0.001
"0",566,0.001
"0",567,0.001
"0",568,0.001
"0",569,0.001
"0",570,0.001
"0",571,0.001
"0",572,0.001
"0",573,0.001
"0",574,0.001
"0",575,0.001
"0",576,0.001
"0",577,0.001
"0",578,0.001
"0",579,0.001
"0",580,0.001
"0",581,0.001
"0",582,0.001
"0",583,0.001
"0",584,0.001
"0",585,0.001
"0",586,0.001
"0",587,0.001
"0",588,0.001
"0",589,0.001
"0",590,0.001
"0",591,0.001
"0",592,0.001
"0",593,0.001
"0",594,0.001
"0",595,0.001
"0",596,0.001
"0",597,0.001
"0",598,0.001
"0",599,0.001
"0",600,0.001
"0",601,0.001
"0",602,0.001
"0",603,0.001
"0",604,0.001
"0",605,0.001
"0",606,0.001
"0",607,0.001
"0",608,0.001
"0",609,0.001
"0",610,0.001
"0",611,0.001
"0",612,0.001
"0",613,0.001
"0",614,0.001
"0",615,0.001
"0",616,0.001
"0",617,0.001
"0",618,0.001
"0",619,0.001
"0",620,0.001
"0",621,0.001
"0",622,0.001
"0",623,0.001
"0",624,0.001
"0",625,0.001
"0",626,0.001
"0",627,0.001
"0",628,0.001
"0",629,0.001
"0",630,0.001
"0",631,0.001
"0",632,0.001
"0",633,0.001
"0",634,0.001
"0",635,0.001
"0",636,0.001
"0",637,0.001
"0",638,0.001
"0",639,0.001
"0",640,0.001
"0",641,0.001
"0",642,0.001
"0",643,0.001
"0",644,0.001
"0",645,0.001
"0",646,0.001
"0",647,0.001
"0",648,0.001
"0",649,0.001
"0",650,0.001
"0",651,0.001
"0",652,0.001
"0",653,0.001
"0",654,0.001
"0",655,0.001
"0",656,0.001
"0",657,0.001
"0",658,0.001
"0",659,0.001
"0",660,0.001
"0",661,0.001
"0",662,0.001
"0",663,0.001
"0",664,0.001
"0",665,0.001
"0",666,0.001
"0",667,0.001
"0",668,0.001
"0",669,0.001
"0",670,0.001
"0",671,0.001
"0",672,0.001
"0",673,0.001
"0",674,0.001
"0",675,0.001
"0",676,0.001
"0",677,0.001
"0",678,0.001
"0",679,0.001
"0",680,0.001
"0",681,0.001
"0",682,0.001
"0",683,0.001
"0",684,0.001
"0",685,0.001
"0",686,0.001
"0",687,0.001
"0",688,0.001
"0",689,0.001
"0",690,0.001
"0",691,0.001
"0",692,0.001
"0",693,0.001
"0",694,0.001
"0",695,0.001
"0",696,0.001
"0",697,0.001
"0",698,0.001
"0",699,0.001
"0",700,0.001
"0",701,0.001
"0",702,0.001
"0",703,0.001
"0",704,0.001
"0",705,0.001
"0",706,0.001
"0",707,0.001
"0",708,0.001
"0",709,0.001
"0",710,0.001
"0",711,0.001
"0",712,0.001
"0",713,0.001
"0",714,0.001
"0",715,0.001
"0",716,0.001
"0",717,0.001
"0",718,0.001
"0",719,0.001
"0",720,0.001
