estimator,quantile,n,distribution,efficiency
HD,0.01,2,"Uniform(0,1)",1.007906319482132
HD,0.01,2,"Beta(2,10)",1.011035273692218
HD,0.01,2,"Normal(0,1^2)",1.006665405327609
HD,0.01,2,"Weibull(1,2)",1.0096677775838478
HD,0.01,2,"Exp(1)",1.0158581335316952
HD,0.01,2,"Cauchy(0,1)",0.9985510987028885
HD,0.01,2,"Pareto(1,0.5)",20.887068105148355
HD,0.01,2,"LogNormal(0,3^2)",1.4903372720928132
HD,0.01,2,"Weibull(1,0.5)",1.027746563510022
HD,0.01,2,"Exp(1) + Outliers",1.0512109029742691
HD,0.01,3,"Uniform(0,1)",1.0155013172053955
HD,0.01,3,"Beta(2,10)",1.0170907349128036
HD,0.01,3,"Normal(0,1^2)",1.0107911779071153
HD,0.01,3,"Weibull(1,2)",1.0152295127396829
HD,0.01,3,"Exp(1)",1.0229348585520601
HD,0.01,3,"Cauchy(0,1)",0.9738925029519635
HD,0.01,3,"Pareto(1,0.5)",0.14887599421390962
HD,0.01,3,"LogNormal(0,3^2)",1.0765916683063885
HD,0.01,3,"Weibull(1,0.5)",1.0371286333796514
HD,0.01,3,"Exp(1) + Outliers",12.708936031055373
HD,0.01,4,"Uniform(0,1)",1.0230567788581961
HD,0.01,4,"Beta(2,10)",1.0223794742714856
HD,0.01,4,"Normal(0,1^2)",1.0146180867638661
HD,0.01,4,"Weibull(1,2)",1.020091382755909
HD,0.01,4,"Exp(1)",1.0302939082363354
HD,0.01,4,"Cauchy(0,1)",0.9708273344387819
HD,0.01,4,"Pareto(1,0.5)",0.12951577608825857
HD,0.01,4,"LogNormal(0,3^2)",1.0840239531329594
HD,0.01,4,"Weibull(1,0.5)",1.053786105286295
HD,0.01,4,"Exp(1) + Outliers",0.6881346584321277
HD,0.01,5,"Uniform(0,1)",1.0305909617991995
HD,0.01,5,"Beta(2,10)",1.0279191208975167
HD,0.01,5,"Normal(0,1^2)",1.0182882066173837
HD,0.01,5,"Weibull(1,2)",1.0251662758157691
HD,0.01,5,"Exp(1)",1.0377299782257998
HD,0.01,5,"Cauchy(0,1)",0.9442896001232814
HD,0.01,5,"Pareto(1,0.5)",0.8976746319697709
HD,0.01,5,"LogNormal(0,3^2)",1.1018669812214392
HD,0.01,5,"Weibull(1,0.5)",1.061416604210442
HD,0.01,5,"Exp(1) + Outliers",0.940276344974251
HD,0.01,6,"Uniform(0,1)",1.0369969220324455
HD,0.01,6,"Beta(2,10)",1.0338152327213999
HD,0.01,6,"Normal(0,1^2)",1.0210504734941812
HD,0.01,6,"Weibull(1,2)",1.0315731883019512
HD,0.01,6,"Exp(1)",1.0426791218652391
HD,0.01,6,"Cauchy(0,1)",0.9318950896635301
HD,0.01,6,"Pareto(1,0.5)",1.0411179551491772
HD,0.01,6,"LogNormal(0,3^2)",1.0963230476814219
HD,0.01,6,"Weibull(1,0.5)",1.074186418221183
HD,0.01,6,"Exp(1) + Outliers",1.0294677416741758
HD,0.01,7,"Uniform(0,1)",1.0453058785390212
HD,0.01,7,"Beta(2,10)",1.040854409285867
HD,0.01,7,"Normal(0,1^2)",1.025919063309077
HD,0.01,7,"Weibull(1,2)",1.037471363550641
HD,0.01,7,"Exp(1)",1.0508229647630913
HD,0.01,7,"Cauchy(0,1)",0.9178536937342795
HD,0.01,7,"Pareto(1,0.5)",1.0749292102605446
HD,0.01,7,"LogNormal(0,3^2)",1.1267219137874962
HD,0.01,7,"Weibull(1,0.5)",1.0726428747038483
HD,0.01,7,"Exp(1) + Outliers",1.0458782413291488
HD,0.01,8,"Uniform(0,1)",1.051625042999094
HD,0.01,8,"Beta(2,10)",1.0457993690521914
HD,0.01,8,"Normal(0,1^2)",1.0291780339445038
HD,0.01,8,"Weibull(1,2)",1.0437205683433435
HD,0.01,8,"Exp(1)",1.0602820445506307
HD,0.01,8,"Cauchy(0,1)",0.8976487882470318
HD,0.01,8,"Pareto(1,0.5)",1.0799202775364418
HD,0.01,8,"LogNormal(0,3^2)",1.1188369511675098
HD,0.01,8,"Weibull(1,0.5)",1.0945906921014776
HD,0.01,8,"Exp(1) + Outliers",1.0557679919335936
HD,0.01,9,"Uniform(0,1)",1.06120041600816
HD,0.01,9,"Beta(2,10)",1.05237914521484
HD,0.01,9,"Normal(0,1^2)",1.0325028843728257
HD,0.01,9,"Weibull(1,2)",1.0471414858351489
HD,0.01,9,"Exp(1)",1.0651161944235092
HD,0.01,9,"Cauchy(0,1)",0.8861114859116044
HD,0.01,9,"Pareto(1,0.5)",1.0921676097355713
HD,0.01,9,"LogNormal(0,3^2)",1.1126363004946838
HD,0.01,9,"Weibull(1,0.5)",1.1021903460193847
HD,0.01,9,"Exp(1) + Outliers",1.0698282934938346
HD,0.01,10,"Uniform(0,1)",1.0665136890526075
HD,0.01,10,"Beta(2,10)",1.057282883854403
HD,0.01,10,"Normal(0,1^2)",1.0357116008015679
HD,0.01,10,"Weibull(1,2)",1.0529084295674702
HD,0.01,10,"Exp(1)",1.0740119488665876
HD,0.01,10,"Cauchy(0,1)",0.8692498266204628
HD,0.01,10,"Pareto(1,0.5)",1.1033152543084588
HD,0.01,10,"LogNormal(0,3^2)",1.14868412517569
HD,0.01,10,"Weibull(1,0.5)",1.1200029544009
HD,0.01,10,"Exp(1) + Outliers",1.0770453738294286
HD,0.01,11,"Uniform(0,1)",1.0767323142908212
HD,0.01,11,"Beta(2,10)",1.0657338839701038
HD,0.01,11,"Normal(0,1^2)",1.0399068316318536
HD,0.01,11,"Weibull(1,2)",1.0584538909362349
HD,0.01,11,"Exp(1)",1.0830852450379713
HD,0.01,11,"Cauchy(0,1)",0.8549918242388829
HD,0.01,11,"Pareto(1,0.5)",1.1052967703859973
HD,0.01,11,"LogNormal(0,3^2)",1.1478070251989372
HD,0.01,11,"Weibull(1,0.5)",1.1196232340121246
HD,0.01,11,"Exp(1) + Outliers",1.0859751265921915
HD,0.01,12,"Uniform(0,1)",1.084565036178439
HD,0.01,12,"Beta(2,10)",1.069112494338544
HD,0.01,12,"Normal(0,1^2)",1.0428315669024384
HD,0.01,12,"Weibull(1,2)",1.0662593341893793
HD,0.01,12,"Exp(1)",1.0910832462803335
HD,0.01,12,"Cauchy(0,1)",0.8461569155014717
HD,0.01,12,"Pareto(1,0.5)",1.1079931496394824
HD,0.01,12,"LogNormal(0,3^2)",1.1551057841645254
HD,0.01,12,"Weibull(1,0.5)",1.1409010675628148
HD,0.01,12,"Exp(1) + Outliers",1.0907858118898264
HD,0.01,13,"Uniform(0,1)",1.0906660549703997
HD,0.01,13,"Beta(2,10)",1.0759132623732288
HD,0.01,13,"Normal(0,1^2)",1.0443633726596069
HD,0.01,13,"Weibull(1,2)",1.0701759930402395
HD,0.01,13,"Exp(1)",1.1036868322057318
HD,0.01,13,"Cauchy(0,1)",0.8260635036524201
HD,0.01,13,"Pareto(1,0.5)",1.109670695594325
HD,0.01,13,"LogNormal(0,3^2)",1.1498334290910288
HD,0.01,13,"Weibull(1,0.5)",1.1389827885439496
HD,0.01,13,"Exp(1) + Outliers",1.1056689455987523
HD,0.01,14,"Uniform(0,1)",1.0986590311085747
HD,0.01,14,"Beta(2,10)",1.0817510338377556
HD,0.01,14,"Normal(0,1^2)",1.047657299168955
HD,0.01,14,"Weibull(1,2)",1.0777366843029854
HD,0.01,14,"Exp(1)",1.1183334647610537
HD,0.01,14,"Cauchy(0,1)",0.8175152940602246
HD,0.01,14,"Pareto(1,0.5)",1.1216342497504332
HD,0.01,14,"LogNormal(0,3^2)",1.1821767253747912
HD,0.01,14,"Weibull(1,0.5)",1.1720817217642017
HD,0.01,14,"Exp(1) + Outliers",1.1140424036715648
HD,0.01,15,"Uniform(0,1)",1.108835596984813
HD,0.01,15,"Beta(2,10)",1.0877031349229027
HD,0.01,15,"Normal(0,1^2)",1.0501862884175484
HD,0.01,15,"Weibull(1,2)",1.0807185316770829
HD,0.01,15,"Exp(1)",1.114699112034806
HD,0.01,15,"Cauchy(0,1)",0.8003842750613724
HD,0.01,15,"Pareto(1,0.5)",1.1321172403586706
HD,0.01,15,"LogNormal(0,3^2)",1.1904591712952206
HD,0.01,15,"Weibull(1,0.5)",1.18318848414718
HD,0.01,15,"Exp(1) + Outliers",1.1140299766507904
HD,0.01,16,"Uniform(0,1)",1.1159568895763716
HD,0.01,16,"Beta(2,10)",1.095030790060363
HD,0.01,16,"Normal(0,1^2)",1.0537413098324722
HD,0.01,16,"Weibull(1,2)",1.088321547462782
HD,0.01,16,"Exp(1)",1.1257100280144197
HD,0.01,16,"Cauchy(0,1)",0.7853774085006914
HD,0.01,16,"Pareto(1,0.5)",1.1502830835565703
HD,0.01,16,"LogNormal(0,3^2)",1.2160051225498991
HD,0.01,16,"Weibull(1,0.5)",1.1773754575790556
HD,0.01,16,"Exp(1) + Outliers",1.1233531132958776
HD,0.01,17,"Uniform(0,1)",1.129002592522138
HD,0.01,17,"Beta(2,10)",1.1006784746113563
HD,0.01,17,"Normal(0,1^2)",1.053331684227929
HD,0.01,17,"Weibull(1,2)",1.0926926629788543
HD,0.01,17,"Exp(1)",1.1335858655863595
HD,0.01,17,"Cauchy(0,1)",0.7710375103833317
HD,0.01,17,"Pareto(1,0.5)",1.1426488844178235
HD,0.01,17,"LogNormal(0,3^2)",1.1890516155766109
HD,0.01,17,"Weibull(1,0.5)",1.2215012582820572
HD,0.01,17,"Exp(1) + Outliers",1.136418716422932
HD,0.01,18,"Uniform(0,1)",1.1356779349280113
HD,0.01,18,"Beta(2,10)",1.107608513177717
HD,0.01,18,"Normal(0,1^2)",1.0563405413364144
HD,0.01,18,"Weibull(1,2)",1.0974473542773118
HD,0.01,18,"Exp(1)",1.1404032275631726
HD,0.01,18,"Cauchy(0,1)",0.7573202673360417
HD,0.01,18,"Pareto(1,0.5)",1.1500496617392473
HD,0.01,18,"LogNormal(0,3^2)",1.2094605565157557
HD,0.01,18,"Weibull(1,0.5)",1.1885459139173444
HD,0.01,18,"Exp(1) + Outliers",1.1469426354997474
HD,0.01,19,"Uniform(0,1)",1.1382623918001553
HD,0.01,19,"Beta(2,10)",1.1108126077239031
HD,0.01,19,"Normal(0,1^2)",1.0589690113306243
