estimator,quantile,n,distribution,efficiency
HD,0.01,2,"Uniform(0,1)",1.007906319482132
HD,0.01,2,"Beta(2,10)",1.0111182034796358
HD,0.01,2,"Normal(0,1^2)",1.006665405327609
HD,0.01,2,"Weibull(1,2)",1.0096677775838478
HD,0.01,2,"Exp(1)",1.015742407665621
HD,0.01,2,"Cauchy(0,1)",0.9987256839434364
HD,0.01,2,"Pareto(1,0.5)",19.940868207892557
HD,0.01,2,"LogNormal(0,3^2)",1.4729859719661362
HD,0.01,2,"Weibull(1,0.5)",1.02876156423845
HD,0.01,2,"Exp(1) + Outliers",1.0220001610968594
HD,0.01,3,"Uniform(0,1)",1.01513576163302
HD,0.01,3,"Beta(2,10)",1.0170599621871388
HD,0.01,3,"Normal(0,1^2)",1.0109078122807058
HD,0.01,3,"Weibull(1,2)",1.015113906272326
HD,0.01,3,"Exp(1)",1.0224915633908913
HD,0.01,3,"Cauchy(0,1)",0.9781955918605753
HD,0.01,3,"Pareto(1,0.5)",0.12765147134620794
HD,0.01,3,"LogNormal(0,3^2)",1.0699315460198846
HD,0.01,3,"Weibull(1,0.5)",1.0401513789264187
HD,0.01,3,"Exp(1) + Outliers",11.673911342720336
HD,0.01,4,"Uniform(0,1)",1.022297559616347
HD,0.01,4,"Beta(2,10)",1.0227364149999338
HD,0.01,4,"Normal(0,1^2)",1.0147694324358634
HD,0.01,4,"Weibull(1,2)",1.020581920800666
HD,0.01,4,"Exp(1)",1.0301443453686916
HD,0.01,4,"Cauchy(0,1)",0.9632348322376436
HD,0.01,4,"Pareto(1,0.5)",0.18486623615656061
HD,0.01,4,"LogNormal(0,3^2)",1.0824517837915069
HD,0.01,4,"Weibull(1,0.5)",1.055813907397259
HD,0.01,4,"Exp(1) + Outliers",0.5691211894097105
HD,0.01,5,"Uniform(0,1)",1.030137173696518
HD,0.01,5,"Beta(2,10)",1.0289655234937087
HD,0.01,5,"Normal(0,1^2)",1.0184437250499212
HD,0.01,5,"Weibull(1,2)",1.0259590260475626
HD,0.01,5,"Exp(1)",1.035153442646851
HD,0.01,5,"Cauchy(0,1)",0.9468260213181541
HD,0.01,5,"Pareto(1,0.5)",0.9479295126354192
HD,0.01,5,"LogNormal(0,3^2)",1.0919251281083682
HD,0.01,5,"Weibull(1,0.5)",1.0623059392424459
HD,0.01,5,"Exp(1) + Outliers",0.9466370162181904
HD,0.01,6,"Uniform(0,1)",1.0375197308685562
HD,0.01,6,"Beta(2,10)",1.0342302482892562
HD,0.01,6,"Normal(0,1^2)",1.0217714333076104
HD,0.01,6,"Weibull(1,2)",1.0315814027216044
HD,0.01,6,"Exp(1)",1.0456266395242568
HD,0.01,6,"Cauchy(0,1)",0.9322239541324943
HD,0.01,6,"Pareto(1,0.5)",1.0570492674607308
HD,0.01,6,"LogNormal(0,3^2)",1.0945015332111598
HD,0.01,6,"Weibull(1,0.5)",1.0650772732056288
HD,0.01,6,"Exp(1) + Outliers",1.0325957897444074
HD,0.01,7,"Uniform(0,1)",1.0458282567890642
HD,0.01,7,"Beta(2,10)",1.0398377231028648
HD,0.01,7,"Normal(0,1^2)",1.025607625635355
HD,0.01,7,"Weibull(1,2)",1.0368233226171117
HD,0.01,7,"Exp(1)",1.0534832737235862
HD,0.01,7,"Cauchy(0,1)",0.9177972020909697
HD,0.01,7,"Pareto(1,0.5)",1.0734867549522948
HD,0.01,7,"LogNormal(0,3^2)",1.0878580265213724
HD,0.01,7,"Weibull(1,0.5)",1.0776904517094548
HD,0.01,7,"Exp(1) + Outliers",1.0482200805754356
HD,0.01,8,"Uniform(0,1)",1.0536605721629302
HD,0.01,8,"Beta(2,10)",1.0456798349885943
HD,0.01,8,"Normal(0,1^2)",1.0290031686253756
HD,0.01,8,"Weibull(1,2)",1.0429507548878474
HD,0.01,8,"Exp(1)",1.0593587376261306
HD,0.01,8,"Cauchy(0,1)",0.8996469196920011
HD,0.01,8,"Pareto(1,0.5)",1.0815704848868046
HD,0.01,8,"LogNormal(0,3^2)",1.1224485723159374
HD,0.01,8,"Weibull(1,0.5)",1.0900672584104079
HD,0.01,8,"Exp(1) + Outliers",1.0585182860798414
HD,0.01,9,"Uniform(0,1)",1.0630618889688617
HD,0.01,9,"Beta(2,10)",1.0509179068837866
HD,0.01,9,"Normal(0,1^2)",1.0322603048792305
HD,0.01,9,"Weibull(1,2)",1.048975844891284
HD,0.01,9,"Exp(1)",1.0703078304147098
HD,0.01,9,"Cauchy(0,1)",0.8887827801355062
HD,0.01,9,"Pareto(1,0.5)",1.0987566974955132
HD,0.01,9,"LogNormal(0,3^2)",1.1592481609637983
HD,0.01,9,"Weibull(1,0.5)",1.109259408675658
HD,0.01,9,"Exp(1) + Outliers",1.0677362053930033
HD,0.01,10,"Uniform(0,1)",1.0694536961269259
HD,0.01,10,"Beta(2,10)",1.0572649921074235
HD,0.01,10,"Normal(0,1^2)",1.0371878847280833
HD,0.01,10,"Weibull(1,2)",1.0536228659898401
HD,0.01,10,"Exp(1)",1.0768760513644435
HD,0.01,10,"Cauchy(0,1)",0.87110604113631
HD,0.01,10,"Pareto(1,0.5)",1.0935453471517456
HD,0.01,10,"LogNormal(0,3^2)",1.1394539448439729
HD,0.01,10,"Weibull(1,0.5)",1.1199550299513559
HD,0.01,10,"Exp(1) + Outliers",1.075533103529431
HD,0.01,11,"Uniform(0,1)",1.0756371033811158
HD,0.01,11,"Beta(2,10)",1.0640858024303683
HD,0.01,11,"Normal(0,1^2)",1.0396592279886077
HD,0.01,11,"Weibull(1,2)",1.0583538568512167
HD,0.01,11,"Exp(1)",1.0857759324659233
HD,0.01,11,"Cauchy(0,1)",0.8553677121578174
HD,0.01,11,"Pareto(1,0.5)",1.1035365680687288
HD,0.01,11,"LogNormal(0,3^2)",1.1416264226256594
HD,0.01,11,"Weibull(1,0.5)",1.1338986248851537
HD,0.01,11,"Exp(1) + Outliers",1.083337260657625
HD,0.01,12,"Uniform(0,1)",1.083224289841113
HD,0.01,12,"Beta(2,10)",1.0706004019349562
HD,0.01,12,"Normal(0,1^2)",1.042441140079831
HD,0.01,12,"Weibull(1,2)",1.065810228410022
HD,0.01,12,"Exp(1)",1.0929924445299615
HD,0.01,12,"Cauchy(0,1)",0.8455761345972258
HD,0.01,12,"Pareto(1,0.5)",1.1040710769876578
HD,0.01,12,"LogNormal(0,3^2)",1.1520156671065724
HD,0.01,12,"Weibull(1,0.5)",1.157163746343709
HD,0.01,12,"Exp(1) + Outliers",1.0883237582811955
HD,0.01,13,"Uniform(0,1)",1.0956541061851752
HD,0.01,13,"Beta(2,10)",1.076662887692049
HD,0.01,13,"Normal(0,1^2)",1.0451045965752044
HD,0.01,13,"Weibull(1,2)",1.0691823803639424
HD,0.01,13,"Exp(1)",1.1034906482823092
HD,0.01,13,"Cauchy(0,1)",0.8293747759947184
HD,0.01,13,"Pareto(1,0.5)",1.1122514467173854
HD,0.01,13,"LogNormal(0,3^2)",1.1636055130224896
HD,0.01,13,"Weibull(1,0.5)",1.1499552224042247
HD,0.01,13,"Exp(1) + Outliers",1.100983120751092
HD,0.01,14,"Uniform(0,1)",1.1007866060873353
HD,0.01,14,"Beta(2,10)",1.0839507852618524
HD,0.01,14,"Normal(0,1^2)",1.0480508754282187
HD,0.01,14,"Weibull(1,2)",1.077726330980828
HD,0.01,14,"Exp(1)",1.1098141240727473
HD,0.01,14,"Cauchy(0,1)",0.8155512806846769
HD,0.01,14,"Pareto(1,0.5)",1.1215997226723082
HD,0.01,14,"LogNormal(0,3^2)",1.1845845822433572
HD,0.01,14,"Weibull(1,0.5)",1.1640145566159696
HD,0.01,14,"Exp(1) + Outliers",1.1087683343767376
HD,0.01,15,"Uniform(0,1)",1.1074442374144304
HD,0.01,15,"Beta(2,10)",1.087716650967373
HD,0.01,15,"Normal(0,1^2)",1.04792106193769
HD,0.01,15,"Weibull(1,2)",1.08109891973744
HD,0.01,15,"Exp(1)",1.113407111232117
HD,0.01,15,"Cauchy(0,1)",0.7992806145931461
HD,0.01,15,"Pareto(1,0.5)",1.132605898169408
HD,0.01,15,"LogNormal(0,3^2)",1.188867976227433
HD,0.01,15,"Weibull(1,0.5)",1.1748137986203384
HD,0.01,15,"Exp(1) + Outliers",1.1150656505635594
HD,0.02,2,"Uniform(0,1)",1.0157705788649418
HD,0.02,2,"Beta(2,10)",1.0228411250749072
HD,0.02,2,"Normal(0,1^2)",1.0142220144483594
HD,0.02,2,"Weibull(1,2)",1.019150274153946
HD,0.02,2,"Exp(1)",1.033477914524737
HD,0.02,2,"Cauchy(0,1)",0.9848740371918672
HD,0.02,2,"Pareto(1,0.5)",18.85360204756445
HD,0.02,2,"LogNormal(0,3^2)",2.888254881238764
HD,0.02,2,"Weibull(1,0.5)",1.060362205908185
HD,0.02,2,"Exp(1) + Outliers",14.673138661282387
HD,0.02,3,"Uniform(0,1)",1.030779677020552
HD,0.02,3,"Beta(2,10)",1.0341697345258132
HD,0.02,3,"Normal(0,1^2)",1.0220262690638953
HD,0.02,3,"Weibull(1,2)",1.0306366766882749
HD,0.02,3,"Exp(1)",1.045625697957922
HD,0.02,3,"Cauchy(0,1)",0.9431389498316327
HD,0.02,3,"Pareto(1,0.5)",0.012582098922567227
HD,0.02,3,"LogNormal(0,3^2)",1.15238868782223
HD,0.02,3,"Weibull(1,0.5)",1.078926373272105
HD,0.02,3,"Exp(1) + Outliers",12.91520626084864
HD,0.02,4,"Uniform(0,1)",1.0462886821613318
HD,0.02,4,"Beta(2,10)",1.0463364377166864
HD,0.02,4,"Normal(0,1^2)",1.0291538311493693
HD,0.02,4,"Weibull(1,2)",1.0413204561639657
HD,0.02,4,"Exp(1)",1.0635799246354913
HD,0.02,4,"Cauchy(0,1)",0.9149116903534429
HD,0.02,4,"Pareto(1,0.5)",0.09033263051602587
HD,0.02,4,"LogNormal(0,3^2)",1.1660484005860747
HD,0.02,4,"Weibull(1,0.5)",1.097963449025882
HD,0.02,4,"Exp(1) + Outliers",0.2949439155044432
HD,0.02,5,"Uniform(0,1)",1.0598601641498098
HD,0.02,5,"Beta(2,10)",1.0583757081889158
HD,0.02,5,"Normal(0,1^2)",1.036506290122838
HD,0.02,5,"Weibull(1,2)",1.052288238132889
HD,0.02,5,"Exp(1)",1.0763089346984855
HD,0.02,5,"Cauchy(0,1)",0.885281379056864
HD,0.02,5,"Pareto(1,0.5)",0.7584937561021848
HD,0.02,5,"LogNormal(0,3^2)",1.197920450582574
HD,0.02,5,"Weibull(1,0.5)",1.1261930624734455
HD,0.02,5,"Exp(1) + Outliers",0.8102715012034896
