Generated: LightAndHeavy_Pdf.csv
Generated: LightAndHeavy_Description.csv
Generated: LightAndHeavy_Description.md
Start simulation for LightAndHeavy
Progress: 0.81% Elapsed:4.3s ETA:532.2s (8.9m)
Progress: 1.62% Elapsed:7.8s ETA:473.7s (7.9m)
Progress: 2.42% Elapsed:12.2s ETA:492.5s (8.2m)
Progress: 3.23% Elapsed:15.5s ETA:463.9s (7.7m)
Progress: 4.04% Elapsed:19.9s ETA:472.8s (7.9m)
Progress: 4.85% Elapsed:23.9s ETA:469.7s (7.8m)
Progress: 5.66% Elapsed:28.4s ETA:473.9s (7.9m)
Progress: 6.46% Elapsed:31.4s ETA:454.4s (7.6m)
Progress: 7.27% Elapsed:35.2s ETA:449.1s (7.5m)
Progress: 8.08% Elapsed:39.1s ETA:445.1s (7.4m)
Progress: 8.89% Elapsed:42.4s ETA:435.0s (7.3m)
Progress: 9.70% Elapsed:46.5s ETA:433.1s (7.2m)
Progress: 10.51% Elapsed:50.3s ETA:428.2s (7.1m)
Progress: 11.31% Elapsed:53.0s ETA:415.3s (6.9m)
Progress: 12.12% Elapsed:55.7s ETA:404.1s (6.7m)
Progress: 12.93% Elapsed:59.1s ETA:397.9s (6.6m)
Progress: 13.74% Elapsed:61.9s ETA:389.0s (6.5m)
Progress: 14.55% Elapsed:65.2s ETA:383.2s (6.4m)
Progress: 15.35% Elapsed:68.3s ETA:376.5s (6.3m)
Progress: 16.16% Elapsed:71.5s ETA:370.7s (6.2m)
Progress: 16.97% Elapsed:74.4s ETA:363.9s (6.1m)
Progress: 17.78% Elapsed:77.6s ETA:358.8s (6.0m)
Progress: 18.59% Elapsed:80.8s ETA:354.1s (5.9m)
Progress: 19.39% Elapsed:83.6s ETA:347.7s (5.8m)
Progress: 20.20% Elapsed:86.5s ETA:341.7s (5.7m)
Progress: 21.01% Elapsed:89.5s ETA:336.5s (5.6m)
Progress: 21.82% Elapsed:92.7s ETA:332.3s (5.5m)
Progress: 22.63% Elapsed:95.8s ETA:327.5s (5.5m)
Progress: 23.43% Elapsed:99.0s ETA:323.6s (5.4m)
Progress: 24.24% Elapsed:102.3s ETA:319.6s (5.3m)
Progress: 25.05% Elapsed:105.3s ETA:315.2s (5.3m)
Progress: 25.86% Elapsed:108.5s ETA:311.2s (5.2m)
Progress: 26.67% Elapsed:111.5s ETA:306.6s (5.1m)
Progress: 27.47% Elapsed:114.6s ETA:302.6s (5.0m)
Progress: 28.28% Elapsed:117.8s ETA:298.6s (5.0m)
Progress: 29.09% Elapsed:121.0s ETA:294.8s (4.9m)
Progress: 29.90% Elapsed:124.0s ETA:290.7s (4.8m)
Progress: 30.71% Elapsed:127.4s ETA:287.5s (4.8m)
Progress: 31.52% Elapsed:130.3s ETA:283.2s (4.7m)
Progress: 32.32% Elapsed:133.3s ETA:279.0s (4.7m)
Progress: 33.13% Elapsed:136.4s ETA:275.2s (4.6m)
Progress: 33.94% Elapsed:139.6s ETA:271.8s (4.5m)
Progress: 34.75% Elapsed:143.8s ETA:270.0s (4.5m)
Progress: 35.56% Elapsed:148.6s ETA:269.3s (4.5m)
Progress: 36.36% Elapsed:153.5s ETA:268.7s (4.5m)
Progress: 37.17% Elapsed:158.4s ETA:267.7s (4.5m)
Progress: 37.98% Elapsed:162.6s ETA:265.6s (4.4m)
Progress: 38.79% Elapsed:168.1s ETA:265.2s (4.4m)
Progress: 39.60% Elapsed:172.8s ETA:263.6s (4.4m)
Progress: 40.40% Elapsed:177.2s ETA:261.3s (4.4m)
Progress: 41.21% Elapsed:182.3s ETA:260.1s (4.3m)
Progress: 42.02% Elapsed:187.2s ETA:258.2s (4.3m)
Progress: 42.83% Elapsed:191.5s ETA:255.6s (4.3m)
Progress: 43.64% Elapsed:196.4s ETA:253.7s (4.2m)
Progress: 44.44% Elapsed:200.9s ETA:251.1s (4.2m)
Progress: 45.25% Elapsed:205.7s ETA:248.8s (4.1m)
Progress: 46.06% Elapsed:210.5s ETA:246.5s (4.1m)
Progress: 46.87% Elapsed:215.5s ETA:244.3s (4.1m)
Progress: 47.68% Elapsed:219.9s ETA:241.3s (4.0m)
Progress: 48.48% Elapsed:224.3s ETA:238.3s (4.0m)
Progress: 49.29% Elapsed:229.0s ETA:235.5s (3.9m)
Progress: 50.10% Elapsed:233.2s ETA:232.3s (3.9m)
Progress: 50.91% Elapsed:238.1s ETA:229.6s (3.8m)
Progress: 51.72% Elapsed:242.9s ETA:226.8s (3.8m)
Progress: 52.53% Elapsed:247.4s ETA:223.6s (3.7m)
Progress: 53.33% Elapsed:252.1s ETA:220.6s (3.7m)
Progress: 54.14% Elapsed:257.1s ETA:217.7s (3.6m)
Progress: 54.95% Elapsed:261.5s ETA:214.4s (3.6m)
