"distribution","n","hd","hl1","hl2","hl3","sm","thd"
"Beta(a=2, b=10)","10",0.00128,0.00131,0.00129,0.00129,0.00148,0.00138
"Beta(a=2, b=10)","11",0.00115,0.00117,0.00115,0.00115,0.0015,0.00126
"Beta(a=2, b=10)","12",0.00108,0.00113,0.00111,0.00112,0.00127,0.00118
"Beta(a=2, b=10)","13",0.00096,0.001,0.00097,0.00098,0.00122,0.00104
"Beta(a=2, b=10)","14",0.00103,0.00104,0.00103,0.00103,0.00118,0.0011
"Beta(a=2, b=10)","15",0.00091,0.00093,0.00092,0.00092,0.00114,0.00098
"Beta(a=2, b=10)","16",0.00088,0.00092,9e-04,0.00091,0.00101,0.00094
"Beta(a=2, b=10)","17",0.00085,0.00089,0.00088,0.00088,0.001,9e-04
"Beta(a=2, b=10)","18",0.00073,0.00072,0.00071,0.00071,0.00088,0.00081
"Beta(a=2, b=10)","19",0.00069,0.00074,0.00072,0.00073,0.00082,0.00074
"Beta(a=2, b=10)","20",0.00061,0.00065,0.00064,0.00064,0.00071,0.00066
"Beta(a=2, b=10)","5",0.0024,0.00244,0.0025,0.0025,0.0031,0.00254
"Beta(a=2, b=10)","6",0.00199,0.00213,0.00207,0.00209,0.00225,0.00213
"Beta(a=2, b=10)","7",0.00177,0.00186,0.00181,0.00184,0.00223,0.0019
"Beta(a=2, b=10)","8",0.00162,0.00173,0.00169,0.00171,0.00182,0.0017
"Beta(a=2, b=10)","9",0.00146,0.0015,0.00148,0.00148,0.00181,0.00159
"Beta(a=2, b=4)","10",0.00429,0.00382,0.00391,0.00385,0.00521,0.00473
"Beta(a=2, b=4)","11",0.00404,0.00353,0.00358,0.00355,0.00522,0.00454
"Beta(a=2, b=4)","12",0.00389,0.00342,0.00348,0.00345,0.00462,0.00429
"Beta(a=2, b=4)","13",0.00359,0.00299,0.00303,0.00301,0.00468,0.00401
"Beta(a=2, b=4)","14",0.00287,0.00242,0.00245,0.00243,0.0035,0.00319
"Beta(a=2, b=4)","15",0.0032,0.00277,0.0028,0.00279,0.00387,0.00345
