n,bias.sd,bias.mad,bias.sqad,svar.sd,svar.mad,svar.sqad,eff.mad,eff.sqad
3,0.99974,0.99971,0.99999,0.82006,2.0458,0.88244,0.40085,0.92931
4,0.99956,0.99985,1.00007,0.71353,1.30694,1.1591,0.54596,0.61559
5,1.00027,1.00072,1.00057,0.65895,1.70879,1.01448,0.38562,0.64954
6,1.00007,1.00037,1.00016,0.62533,1.35199,0.9252,0.46252,0.67588
7,1.00032,0.99974,0.99984,0.60465,1.59767,1.02923,0.37846,0.58748
8,1.0003,1.00009,1.00017,0.58973,1.36026,0.9849,0.43354,0.59877
9,0.99996,0.99984,0.99994,0.57918,1.54089,0.93357,0.37588,0.6204
10,0.99992,0.99997,0.99998,0.57012,1.36334,0.97677,0.41818,0.58368
11,1.00007,1.00016,1.00006,0.56368,1.50597,0.97975,0.37429,0.57532
12,0.99989,1.0001,0.99978,0.5567,1.36499,0.92717,0.40784,0.60043
13,0.99992,0.99971,1,0.55278,1.48179,0.95706,0.37305,0.57759
14,1.00012,1.0001,1.00007,0.54933,1.36437,0.97322,0.40263,0.56445
15,0.99989,0.99967,0.99991,0.54539,1.46602,0.93173,0.37202,0.58536
16,1.00002,1.00007,1.00011,0.54258,1.3637,0.94124,0.39787,0.57645
17,0.99998,1.00023,1.00004,0.53865,1.44875,0.97339,0.3718,0.55338
18,0.99995,1.00023,0.99997,0.53651,1.36419,0.93041,0.39328,0.57663
19,0.99998,0.99981,1.00002,0.53563,1.44324,0.93774,0.37113,0.5712
20,1.00021,1.00023,1.00017,0.53258,1.36374,0.97244,0.39053,0.54768
21,1.00009,1.00008,1.00008,0.53129,1.43396,0.93414,0.37051,0.56875
22,1.00007,1.0002,0.99994,0.52969,1.36337,0.9301,0.38851,0.5695
23,0.99992,1.00001,1.0001,0.52858,1.42622,0.96953,0.37061,0.54519
24,0.99988,1.00008,0.99998,0.52677,1.36164,0.9354,0.38686,0.56315
25,1.00001,1.00008,1.00011,0.52571,1.42089,0.92785,0.36999,0.56659
26,0.99978,0.99965,0.99975,0.5249,1.36523,0.95482,0.38448,0.54974
27,1.00008,1.00005,0.99989,0.52425,1.4168,0.93812,0.37002,0.55883
28,0.99993,0.99995,1.00012,0.5234,1.36352,0.92676,0.38386,0.56476
29,1.00016,1.00032,1.00004,0.52276,1.41304,0.94888,0.36996,0.55093
30,1.00018,1.00026,1.00007,0.52151,1.36412,0.94002,0.38231,0.55479
31,0.99996,1.0001,1.00001,0.52175,1.41136,0.92669,0.36968,0.56303
32,1.00015,1.00051,1.00018,0.51963,1.36119,0.93889,0.38174,0.55344
33,1.00003,1.00014,0.99999,0.51995,1.40811,0.94375,0.36925,0.55094
34,1.00008,1.0002,1,0.51913,1.36189,0.92654,0.38118,0.56029
35,0.99995,1.00036,1.00006,0.5183,1.40433,0.93527,0.36908,0.55418
36,0.99994,1.00001,0.99992,0.51728,1.36174,0.94302,0.37986,0.54853
37,0.99988,1.00015,1,0.51712,1.40047,0.92659,0.36925,0.55809
38,1.00011,1.00042,1.00012,0.51761,1.36356,0.9314,0.3796,0.55573
39,0.99998,1.00017,0.99989,0.51682,1.39963,0.94931,0.36926,0.54442
40,0.99998,1.00023,0.99997,0.51549,1.36234,0.92795,0.37839,0.55552
41,1.00005,1.00046,1.00006,0.51544,1.3967,0.92793,0.36904,0.55548
42,0.99992,1.00014,0.99985,0.5146,1.36093,0.94928,0.37812,0.54209
43,0.99996,1.00033,1.00009,0.51403,1.39471,0.92845,0.36856,0.55365
44,1.00007,1.00043,1.0001,0.51455,1.36381,0.92758,0.37729,0.55472
45,1.00001,1.0004,1.00008,0.51496,1.39428,0.94473,0.36934,0.54509
46,0.99999,1.0004,1.00005,0.51446,1.36625,0.93127,0.37655,0.55243
47,0.99992,1.0004,1.00004,0.51463,1.39052,0.9254,0.3701,0.55612
48,1,1.00037,0.99999,0.5133,1.35989,0.93963,0.37746,0.54628
49,1.00011,1.00044,1.00007,0.51361,1.39152,0.93169,0.3691,0.55126
50,0.99984,1.00017,0.99992,0.51239,1.36218,0.92528,0.37615,0.55376
51,1,1.00051,1.00005,0.51304,1.38952,0.93625,0.36922,0.54797
52,1,1.0005,1.00017,0.51172,1.36388,0.93409,0.37519,0.54783
53,0.99985,1.00013,0.99986,0.51254,1.38687,0.92479,0.36956,0.55422
54,1.00011,1.00038,1.00002,0.51176,1.36171,0.93283,0.37582,0.5486
55,1.00001,1.00051,1.0001,0.51205,1.38612,0.93565,0.36941,0.54726
56,0.99993,1.00027,0.99988,0.5114,1.3624,0.92514,0.37536,0.55278
57,1.00004,1.00046,0.99995,0.51188,1.38657,0.93094,0.36917,0.54985
58,1,1.00019,0.99991,0.51049,1.36131,0.93735,0.375,0.54461
59,1,1.00035,0.99996,0.51126,1.38678,0.92681,0.36867,0.55163
60,0.99993,1.00028,0.99988,0.51022,1.36037,0.92742,0.37506,0.55015
61,0.99989,1.00014,0.99998,0.5109,1.38565,0.94074,0.3687,0.54308
62,1.00002,1.00036,1.00005,0.51094,1.36291,0.92675,0.37489,0.55133
63,1,1.00034,1.00004,0.50975,1.38365,0.92687,0.36841,0.54997
64,0.99998,1.00018,0.99996,0.51016,1.36277,0.94157,0.37435,0.54182
65,1.00005,1.00036,1.00007,0.51006,1.3825,0.9272,0.36894,0.55011
66,1.00004,1.00028,1.00017,0.50859,1.35983,0.92512,0.37401,0.54976
67,1.00006,1.00034,0.99997,0.50977,1.38363,0.93756,0.36843,0.54372
68,0.99991,1.0001,0.99992,0.50975,1.36414,0.92993,0.37368,0.54816
69,1,1.0003,0.99998,0.50913,1.38062,0.92577,0.36877,0.54995
70,1.00003,1.0004,1,0.50943,1.36308,0.93387,0.37373,0.5455
71,1.00006,1.00033,1.00003,0.50886,1.38326,0.93137,0.36787,0.54635
72,0.99998,1.0002,1,0.50917,1.36069,0.92516,0.3742,0.55036
73,1,1.00018,0.99996,0.50941,1.38157,0.93356,0.36872,0.54567
74,1.00001,1.00035,1.00004,0.50874,1.36081,0.93146,0.37385,0.54617
75,0.99995,1.0003,0.99999,0.50875,1.38072,0.9255,0.36847,0.5497
76,0.99995,1.00029,1.00001,0.50906,1.36023,0.931,0.37425,0.54679
