es,bm,mw
0.1,0.02736,0.02424
0.15,0.04058,0.0379
0.2,0.06242,0.05718
0.25,0.08684,0.07998
0.3,0.11932,0.11108
0.35,0.16154,0.14824
0.4,0.20998,0.1981
0.45,0.27012,0.25112
0.5,0.3356,0.32
0.55,0.40194,0.38254
0.6,0.47754,0.45632
0.65,0.55344,0.53126
0.7,0.62172,0.59842
0.75,0.6885,0.67288
0.8,0.75022,0.7325
0.85,0.80426,0.79088
0.9,0.85344,0.84198
0.95,0.89164,0.88092
1,0.92162,0.9135
1.05,0.94676,0.93848
1.1,0.96342,0.95728
1.15,0.9754,0.97308
1.2,0.98416,0.98202
1.25,0.99038,0.98824
1.3,0.99438,0.99292
1.35,0.99632,0.99606
1.4,0.998,0.99772
1.45,0.99912,0.99872
1.5,0.99944,0.99926
1.55,0.9996,0.99968
1.6,0.99986,0.99982
1.65,0.99996,0.9999
1.7,0.99998,0.99996
1.75,1,0.99998
1.8,1,1
1.85,1,1
1.9,1,1
1.95,1,1
2,1,1
