es,rate,type
-1,0,t
-0.95,0,t
-0.9,0,t
-0.85,0,t
-0.8,0,t
-0.75,0,t
-0.7,0,t
-0.65,0,t
-0.6,0,t
-0.55,0,t
-0.5,0,t
-0.45,0,t
-0.4,0,t
-0.35,5e-05,t
-0.3,1e-04,t
-0.25,0.00055,t
-0.2,0.00075,t
-0.15,0.00365,t
-0.1,0.008,t
-0.0499999999999999,0.02285,t
0,0.05035,t
0.05,0.09655,t
0.1,0.1719,t
0.15,0.2778,t
0.2,0.40635,t
0.25,0.54395,t
0.3,0.6765,t
0.35,0.7935,t
0.4,0.88195,t
0.45,0.93495,t
0.5,0.9691,t
0.55,0.9865,t
0.6,0.99505,t
0.65,0.99825,t
0.7,0.9997,t
0.75,0.9998,t
0.8,0.99995,t
0.85,1,t
0.9,1,t
0.95,1,t
1,1,t
1.05,1,t
1.1,1,t
1.15,1,t
1.2,1,t
1.25,1,t
1.3,1,t
1.35,1,t
1.4,1,t
1.45,1,t
1.5,1,t
1.55,1,t
1.6,1,t
1.65,1,t
1.7,1,t
1.75,1,t
1.8,1,t
1.85,1,t
1.9,1,t
1.95,1,t
2,1,t
-1,0,mw
-0.95,0,mw
-0.9,0,mw
-0.85,0,mw
-0.8,0,mw
-0.75,0,mw
-0.7,0,mw
-0.65,0,mw
-0.6,0,mw
-0.55,0,mw
-0.5,0,mw
-0.45,0,mw
-0.4,0,mw
-0.35,0,mw
-0.3,0,mw
-0.25,3e-04,mw
-0.2,0.0013,mw
-0.15,0.0037,mw
-0.1,0.0092,mw
-0.0499999999999999,0.0216,mw
0,0.05115,mw
0.05,0.0974,mw
0.1,0.1711,mw
0.15,0.26705,mw
0.2,0.39935,mw
0.25,0.5272,mw
0.3,0.6572,mw
0.35,0.78075,mw
0.4,0.8668,mw
0.45,0.92765,mw
0.5,0.96385,mw
0.55,0.98355,mw
0.6,0.9941,mw
0.65,0.99765,mw
0.7,0.9992,mw
0.75,0.9997,mw
0.8,0.99995,mw
0.85,0.99995,mw
0.9,1,mw
0.95,1,mw
1,1,mw
1.05,1,mw
1.1,1,mw
1.15,1,mw
1.2,1,mw
1.25,1,mw
1.3,1,mw
1.35,1,mw
1.4,1,mw
1.45,1,mw
1.5,1,mw
1.55,1,mw
1.6,1,mw
1.65,1,mw
1.7,1,mw
1.75,1,mw
1.8,1,mw
1.85,1,mw
1.9,1,mw
1.95,1,mw
2,1,mw
