n,median,hl
3,0.556239563462714,0.889402877022955
4,0.623718498489515,0.737999954606394
5,0.466291983576862,0.799118330069308
6,0.518466879465642,0.830859571879105
7,0.428628777026407,0.760267546340577
8,0.469901629032469,0.781989975569995
9,0.408649653217477,0.795395404058505
10,0.438446768563097,0.78952288982507
11,0.394098170936455,0.795250406403802
12,0.421784842293354,0.801565650344432
13,0.383827075795144,0.807863877591426
14,0.408784772317838,0.806322286619334
15,0.375724600149316,0.810717328718562
16,0.396117709043709,0.817696496600202
17,0.372528298574904,0.81835075268834
18,0.391761634691401,0.820984756624866
19,0.367786547720063,0.824381663624702
20,0.384996082760834,0.828921871129858
21,0.364494892904019,0.830382785999379
22,0.382232053278965,0.834483646370793
23,0.361837904732005,0.836916211214251
24,0.375575867528486,0.837686669415197
25,0.360981869027158,0.842808731143386
26,0.37128674915848,0.844436296894821
27,0.359489475140762,0.84577008539277
28,0.370369939917805,0.847745616869496
29,0.356660847678194,0.850070188862331
30,0.365945076302915,0.851384743384532
31,0.353288205799467,0.854506579237982
32,0.367097959306097,0.856042129786969
33,0.354348405118152,0.857167180021802
34,0.361815553356171,0.85953629819172
35,0.353424894232917,0.861237859631719
36,0.362655148906791,0.862802242402771
37,0.352734213586927,0.86476093890419
38,0.361317862305728,0.866492233504158
39,0.348281666527751,0.865237995679958
40,0.358056728456487,0.867373030743989
41,0.348928967013164,0.869493800279694
42,0.357268870162928,0.869868311784373
43,0.349251324430628,0.871818750435254
44,0.357017941484422,0.874285359822883
45,0.347446694025764,0.875438712628619
46,0.355559667840414,0.875039073956125
47,0.347336520310594,0.877544808562304
48,0.354667325333453,0.877472335206931
49,0.347977842103548,0.87974026935048
50,0.353142997000265,0.879248756934433
51,0.346442249596963,0.881654866173091
52,0.352162724452346,0.881841666261139
53,0.346045157838355,0.883696319705348
54,0.352118749908062,0.882811916620748
55,0.345336482324229,0.88481271750244
56,0.350840197110587,0.886432286011393
57,0.344383967994063,0.887670316093458
58,0.352579863851363,0.886735830324869
59,0.346496746116329,0.887274197225864
60,0.350162334263823,0.888685254663758
61,0.344338879922149,0.8894901393767
62,0.34805659147114,0.8903851038112
63,0.344238849996873,0.890932623124203
64,0.347757223229443,0.892938871565525
65,0.343997814193956,0.893224874394368
66,0.349332761363523,0.893830507699048
67,0.343141231150966,0.894114419649337
68,0.347412884799003,0.895627844134345
69,0.34245686740009,0.897227107762511
70,0.345584072972401,0.89760404523135
71,0.34509286157449,0.895392367978922
72,0.346472218530313,0.898397127335447
73,0.342317595431657,0.898852174149458
74,0.348753478325359,0.900071494092506
75,0.341325011260507,0.899560539594057
76,0.346895545097517,0.900365048773408
77,0.342531293108673,0.901781278441135
78,0.344516040260845,0.901535785082861
79,0.342107620356576,0.901723517053282
80,0.346006654853678,0.900974779131472
81,0.342029333910726,0.9031825328592
82,0.344946790954691,0.904392748689119
83,0.340230260462569,0.904954914216407
84,0.344593622015641,0.904552133937237
85,0.339769427984639,0.904794845506931
86,0.343912828444311,0.9057231332437
87,0.341621650678901,0.906451403632551
88,0.345577203389346,0.906155486227156
89,0.340154906974688,0.906934324340188
90,0.343267029303531,0.907946778620422
91,0.338204815410057,0.908272007702481
92,0.344234220227383,0.908542422609403
93,0.33948829543268,0.90834802136546
94,0.344765749690195,0.909630632842965
95,0.33843689314447,0.909846348420705
96,0.343678872750656,0.910121619871961
97,0.340228767133807,0.910728373277638
98,0.344256678202484,0.911788611013646
99,0.341051140151554,0.911425983564489
100,0.342689718637361,0.912298115012043
