probs,eff,estimator,n,distribution
0.1,0.358963891894729,median,30,Uniform
0.12,0.356342318979233,median,30,Uniform
0.14,0.365563371396093,median,30,Uniform
0.16,0.370513389783163,median,30,Uniform
0.18,0.365914900406794,median,30,Uniform
0.2,0.363927018615544,median,30,Uniform
0.22,0.36199270772553,median,30,Uniform
0.24,0.362371649652392,median,30,Uniform
0.26,0.36500496074688,median,30,Uniform
0.28,0.365587098707706,median,30,Uniform
0.3,0.367268231405802,median,30,Uniform
0.32,0.368427127400932,median,30,Uniform
0.34,0.368475910568321,median,30,Uniform
0.36,0.369400310478742,median,30,Uniform
0.38,0.369157269330931,median,30,Uniform
0.4,0.368293080821311,median,30,Uniform
0.42,0.366238123737522,median,30,Uniform
0.44,0.365200453599431,median,30,Uniform
0.46,0.365865290888298,median,30,Uniform
0.48,0.364026247824585,median,30,Uniform
0.5,0.366216135429096,median,30,Uniform
0.52,0.36599065079752,median,30,Uniform
0.54,0.365176821513603,median,30,Uniform
0.56,0.365482040262486,median,30,Uniform
0.58,0.367786147170757,median,30,Uniform
0.6,0.366230985114511,median,30,Uniform
0.62,0.367085526207967,median,30,Uniform
0.64,0.366154091197238,median,30,Uniform
0.66,0.365817128596769,median,30,Uniform
0.68,0.367685962981981,median,30,Uniform
0.7,0.367115031026224,median,30,Uniform
0.72,0.367896527298751,median,30,Uniform
0.74,0.366955679261259,median,30,Uniform
0.76,0.366317130268787,median,30,Uniform
0.78,0.364556878230833,median,30,Uniform
0.8,0.364527119461576,median,30,Uniform
0.82,0.365201678001646,median,30,Uniform
0.84,0.366234630701319,median,30,Uniform
0.86,0.367484251582711,median,30,Uniform
0.88,0.368566210851296,median,30,Uniform
0.9,0.370802196748299,median,30,Uniform
0.1,0.872809002652996,hl,30,Uniform
0.12,0.859175563569975,hl,30,Uniform
0.14,0.874921939280365,hl,30,Uniform
0.16,0.888831143368248,hl,30,Uniform
0.18,0.882414211634541,hl,30,Uniform
0.2,0.89152387273276,hl,30,Uniform
0.22,0.897351146311088,hl,30,Uniform
0.24,0.895322249670843,hl,30,Uniform
0.26,0.900548058596174,hl,30,Uniform
0.28,0.89852661598736,hl,30,Uniform
0.3,0.902967789301825,hl,30,Uniform
0.32,0.904959104249956,hl,30,Uniform
0.34,0.90778071544713,hl,30,Uniform
0.36,0.908165191743717,hl,30,Uniform
0.38,0.907890036791856,hl,30,Uniform
0.4,0.905514655084352,hl,30,Uniform
0.42,0.903904308138883,hl,30,Uniform
0.44,0.903446065547064,hl,30,Uniform
0.46,0.905172112364784,hl,30,Uniform
0.48,0.89840262723893,hl,30,Uniform
0.5,0.900689249271988,hl,30,Uniform
0.52,0.898107704001538,hl,30,Uniform
0.54,0.895932675309501,hl,30,Uniform
0.56,0.896155779330828,hl,30,Uniform
0.58,0.899286837597641,hl,30,Uniform
0.6,0.897239456475629,hl,30,Uniform
0.62,0.893618251981727,hl,30,Uniform
0.64,0.888466027868115,hl,30,Uniform
0.66,0.886016817623421,hl,30,Uniform
0.68,0.892792278421808,hl,30,Uniform
0.7,0.888802713457095,hl,30,Uniform
0.72,0.886450727764269,hl,30,Uniform
0.74,0.882678054867978,hl,30,Uniform
0.76,0.87947057118527,hl,30,Uniform
0.78,0.873902950709491,hl,30,Uniform
0.8,0.871312797065177,hl,30,Uniform
0.82,0.868414851743711,hl,30,Uniform
0.84,0.867583535677523,hl,30,Uniform
0.86,0.866311155036518,hl,30,Uniform
0.88,0.861698557158447,hl,30,Uniform
0.9,0.86059463404486,hl,30,Uniform
0.1,0.650838620124413,median,30,Normal
0.12,0.639751879165743,median,30,Normal
0.14,0.639762863226004,median,30,Normal
0.16,0.635936968591227,median,30,Normal
0.18,0.636728847568333,median,30,Normal
0.2,0.639001532499747,median,30,Normal
0.22,0.642412034540395,median,30,Normal
0.24,0.646490425718304,median,30,Normal
0.26,0.648745945868598,median,30,Normal
0.28,0.651108234564061,median,30,Normal
0.3,0.654602305014375,median,30,Normal
0.32,0.656053362121714,median,30,Normal
0.34,0.656766513074542,median,30,Normal
0.36,0.656171160449166,median,30,Normal
0.38,0.650310578388983,median,30,Normal
0.4,0.652245159182018,median,30,Normal
0.42,0.650526370715474,median,30,Normal
0.44,0.647633432154441,median,30,Normal
0.46,0.647580654101705,median,30,Normal
0.48,0.651903773596494,median,30,Normal
0.5,0.653808933853391,median,30,Normal
0.52,0.654640927560525,median,30,Normal
0.54,0.656409892860096,median,30,Normal
0.56,0.655247889001275,median,30,Normal
0.58,0.655621307029851,median,30,Normal
0.6,0.657049385734107,median,30,Normal
0.62,0.655106953542535,median,30,Normal
0.64,0.655743524061547,median,30,Normal
0.66,0.658144050936977,median,30,Normal
0.68,0.658542854844712,median,30,Normal
0.7,0.658037367798142,median,30,Normal
0.72,0.659002965655262,median,30,Normal
0.74,0.65928166678417,median,30,Normal
0.76,0.660515952813807,median,30,Normal
0.78,0.66013751446039,median,30,Normal
0.8,0.664753454883502,median,30,Normal
0.82,0.667387452781967,median,30,Normal
0.84,0.668627984538555,median,30,Normal
0.86,0.670053318469194,median,30,Normal
0.88,0.669232760327792,median,30,Normal
0.9,0.670853564253354,median,30,Normal
0.1,0.881624965532076,hl,30,Normal
0.12,0.894113881681671,hl,30,Normal
0.14,0.907717725488014,hl,30,Normal
0.16,0.900013613966022,hl,30,Normal
0.18,0.908357256471834,hl,30,Normal
0.2,0.913849862435499,hl,30,Normal
0.22,0.914304784208156,hl,30,Normal
0.24,0.917953753738727,hl,30,Normal
0.26,0.923147179524642,hl,30,Normal
0.28,0.926128659161527,hl,30,Normal
0.3,0.924819536758515,hl,30,Normal
0.32,0.927856499526083,hl,30,Normal
0.34,0.931827637944499,hl,30,Normal
0.36,0.933859983409364,hl,30,Normal
0.38,0.926010047153581,hl,30,Normal
0.4,0.923845984549726,hl,30,Normal
0.42,0.920761618317461,hl,30,Normal
0.44,0.924038493761338,hl,30,Normal
0.46,0.922680513367924,hl,30,Normal
0.48,0.926336091373825,hl,30,Normal
0.5,0.926244763984224,hl,30,Normal
0.52,0.925411859028616,hl,30,Normal
0.54,0.926620253036113,hl,30,Normal
0.56,0.928426342183731,hl,30,Normal
0.58,0.929183811627417,hl,30,Normal
0.6,0.931247049932737,hl,30,Normal
0.62,0.928882293917211,hl,30,Normal
0.64,0.930076983902554,hl,30,Normal
0.66,0.932677043097033,hl,30,Normal
0.68,0.932366979034579,hl,30,Normal
0.7,0.932053325391286,hl,30,Normal
0.72,0.935312957221534,hl,30,Normal
0.74,0.936004314329141,hl,30,Normal
0.76,0.938190391002421,hl,30,Normal
0.78,0.940961175268529,hl,30,Normal
0.8,0.943832620483043,hl,30,Normal
0.82,0.942156332041924,hl,30,Normal
0.84,0.939925970488958,hl,30,Normal
0.86,0.939171086588294,hl,30,Normal
0.88,0.936991134162864,hl,30,Normal
0.9,0.94353164911757,hl,30,Normal
0.1,1.04076743802663,median,30,Exp
0.12,1.05860612074809,median,30,Exp
0.14,1.06710087010636,median,30,Exp
0.16,1.07072189550003,median,30,Exp
0.18,1.06445101574739,median,30,Exp
0.2,1.06402354391317,median,30,Exp
0.22,1.06233100625634,median,30,Exp
0.24,1.06367158359756,median,30,Exp
0.26,1.07072155544475,median,30,Exp
0.28,1.07466530453172,median,30,Exp
0.3,1.07245113031283,median,30,Exp
0.32,1.06312215451982,median,30,Exp
0.34,1.05468564997275,median,30,Exp
0.36,1.05332199269853,median,30,Exp
0.38,1.0471868652164,median,30,Exp
0.4,1.05226109066152,median,30,Exp
0.42,1.05529821281917,median,30,Exp
0.44,1.05462205793495,median,30,Exp
0.46,1.05005681937623,median,30,Exp
0.48,1.04818461384414,median,30,Exp
0.5,1.04224631387324,median,30,Exp
0.52,1.0458208205357,median,30,Exp
0.54,1.04421923548902,median,30,Exp
0.56,1.046908711355,median,30,Exp
0.58,1.0489889625457,median,30,Exp
0.6,1.04585255495526,median,30,Exp
0.62,1.04604866400091,median,30,Exp
0.64,1.04883537010129,median,30,Exp
0.66,1.04506508188287,median,30,Exp
0.68,1.04365296057984,median,30,Exp
0.7,1.0421414786672,median,30,Exp
0.72,1.0395067045198,median,30,Exp
0.74,1.0335791585068,median,30,Exp
0.76,1.03128290267508,median,30,Exp
0.78,1.02822285082307,median,30,Exp
0.8,1.02151976759625,median,30,Exp
0.82,1.02138336928018,median,30,Exp
0.84,1.02086144409483,median,30,Exp
0.86,1.02263240419737,median,30,Exp
0.88,1.01707483819645,median,30,Exp
0.9,1.02145250371106,median,30,Exp
0.1,1.10681120830119,hl,30,Exp
0.12,1.12152837819969,hl,30,Exp
0.14,1.11660904982111,hl,30,Exp
0.16,1.12189037956553,hl,30,Exp
0.18,1.12314997521888,hl,30,Exp
0.2,1.11236281181091,hl,30,Exp
0.22,1.10677423715337,hl,30,Exp
0.24,1.11289792000071,hl,30,Exp
0.26,1.12593684116513,hl,30,Exp
0.28,1.13268327526104,hl,30,Exp
0.3,1.12601403666485,hl,30,Exp
0.32,1.12316877031788,hl,30,Exp
0.34,1.11905255891168,hl,30,Exp
0.36,1.11297941195081,hl,30,Exp
0.38,1.10762882657379,hl,30,Exp
0.4,1.10880640753452,hl,30,Exp
0.42,1.11391952880299,hl,30,Exp
0.44,1.112734609258,hl,30,Exp
0.46,1.10587836016725,hl,30,Exp
0.48,1.10504456972485,hl,30,Exp
0.5,1.10845304697069,hl,30,Exp
0.52,1.10911042622665,hl,30,Exp
0.54,1.10688704417024,hl,30,Exp
0.56,1.10269555274877,hl,30,Exp
0.58,1.10141076775714,hl,30,Exp
0.6,1.09748037079718,hl,30,Exp
0.62,1.10117601557393,hl,30,Exp
0.64,1.09922888692782,hl,30,Exp
0.66,1.09739481337179,hl,30,Exp
0.68,1.0972577360751,hl,30,Exp
0.7,1.0974837464673,hl,30,Exp
0.72,1.09510783482212,hl,30,Exp
0.74,1.09026298756085,hl,30,Exp
0.76,1.08779148391342,hl,30,Exp
0.78,1.08767624184062,hl,30,Exp
0.8,1.08395977510898,hl,30,Exp
0.82,1.08780834572606,hl,30,Exp
0.84,1.08893742097742,hl,30,Exp
0.86,1.09186720684755,hl,30,Exp
0.88,1.08892859986371,hl,30,Exp
0.9,1.09311304917054,hl,30,Exp
0.1,2.5738382188923,median,30,LogNormal
0.12,2.56440781937796,median,30,LogNormal
0.14,2.57711562198394,median,30,LogNormal
0.16,2.58961730300754,median,30,LogNormal
0.18,2.58051238632677,median,30,LogNormal
0.2,2.59135639007238,median,30,LogNormal
