ratio,rate,type
1,0.0459,t
1.2,0.0465,t
1.4,0.0464,t
1.6,0.0489,t
1.8,0.0453,t
2,0.0499,t
2.2,0.0535,t
2.4,0.0535,t
2.6,0.0539,t
2.8,0.0551,t
3,0.0506,t
3.2,0.0488,t
3.4,0.0542,t
3.6,0.0552,t
3.8,0.0534,t
4,0.0542,t
4.2,0.0547,t
4.4,0.0535,t
4.6,0.0549,t
4.8,0.0517,t
5,0.0543,t
5.2,0.0526,t
5.4,0.0549,t
5.6,0.0525,t
5.8,0.052,t
6,0.0514,t
6.2,0.0529,t
6.4,0.055,t
6.6,0.0545,t
6.8,0.0552,t
7,0.0496,t
7.2,0.05,t
7.4,0.0541,t
7.6,0.053,t
7.8,0.0534,t
8,0.0543,t
8.2,0.0493,t
8.4,0.0533,t
8.6,0.0505,t
8.8,0.0542,t
9,0.0532,t
9.2,0.054,t
9.4,0.0502,t
9.6,0.0538,t
9.8,0.0517,t
10,0.0516,t
1,0.0317,mw
1.2,0.0332,mw
1.4,0.0318,mw
1.6,0.0349,mw
1.8,0.0354,mw
2,0.0378,mw
2.2,0.0413,mw
2.4,0.043,mw
2.6,0.0461,mw
2.8,0.045,mw
3,0.0462,mw
3.2,0.0458,mw
3.4,0.05,mw
3.6,0.046,mw
3.8,0.0495,mw
4,0.0485,mw
4.2,0.0473,mw
4.4,0.0496,mw
4.6,0.0547,mw
4.8,0.0546,mw
5,0.0565,mw
5.2,0.0585,mw
5.4,0.0511,mw
5.6,0.0587,mw
5.8,0.059,mw
6,0.0574,mw
6.2,0.0606,mw
6.4,0.0565,mw
6.6,0.0588,mw
6.8,0.0572,mw
7,0.0555,mw
7.2,0.0591,mw
7.4,0.0566,mw
7.6,0.0584,mw
7.8,0.0565,mw
8,0.0587,mw
8.2,0.0564,mw
8.4,0.0606,mw
8.6,0.0618,mw
8.8,0.0607,mw
9,0.0573,mw
9.2,0.0609,mw
9.4,0.0617,mw
9.6,0.0599,mw
9.8,0.0623,mw
10,0.0585,mw
1,0.0474,ab
1.2,0.054,ab
1.4,0.0718,ab
1.6,0.086,ab
1.8,0.1113,ab
2,0.1324,ab
2.2,0.159,ab
2.4,0.1779,ab
2.6,0.1999,ab
2.8,0.2257,ab
3,0.2356,ab
3.2,0.2637,ab
3.4,0.2758,ab
3.6,0.294,ab
3.8,0.2989,ab
4,0.3221,ab
4.2,0.3347,ab
4.4,0.3413,ab
4.6,0.3532,ab
4.8,0.368,ab
5,0.3746,ab
5.2,0.377,ab
5.4,0.3906,ab
5.6,0.3916,ab
5.8,0.408,ab
6,0.4134,ab
6.2,0.4254,ab
6.4,0.423,ab
6.6,0.4311,ab
6.8,0.4353,ab
7,0.4364,ab
7.2,0.4486,ab
7.4,0.452,ab
7.6,0.467,ab
7.8,0.459,ab
8,0.4618,ab
8.2,0.4621,ab
8.4,0.4722,ab
8.6,0.4725,ab
8.8,0.4767,ab
9,0.4871,ab
9.2,0.4829,ab
9.4,0.4772,ab
9.6,0.4846,ab
9.8,0.4921,ab
10,0.5006,ab
