distribution,x,pdf
"Beta(2,10)",0,0
"Beta(2,10)",0.001,0.10901394989286851
"Beta(2,10)",0.002,0.21607153085648878
"Beta(2,10)",0.003,0.321196172322204
"Beta(2,10)",0.004,0.4244110852662146
"Beta(2,10)",0.005,0.5257392638479857
"Beta(2,10)",0.006,0.6252034870388121
"Beta(2,10)",0.007,0.7228263202405941
"Beta(2,10)",0.008,0.8186301168948552
"Beta(2,10)",0.009000000000000001,0.9126370200820716
"Beta(2,10)",0.01,1.004868964111328
"Beta(2,10)",0.011,1.0953476761003742
"Beta(2,10)",0.012,1.1840946775461096
"Beta(2,10)",0.013000000000000001,1.2711312858855517
"Beta(2,10)",0.014,1.3564786160473161
"Beta(2,10)",0.015,1.4401575819936776
"Beta(2,10)",0.016,1.522188898253238
"Beta(2,10)",0.017,1.6025930814442533
"Beta(2,10)",0.018000000000000002,1.6813904517886546
"Beta(2,10)",0.019,1.7586011346168324
"Beta(2,10)",0.02,1.8342450618631905
"Beta(2,10)",0.021,1.9083419735525466
"Beta(2,10)",0.022,1.9809114192774022
"Beta(2,10)",0.023,2.0519727596661426
"Beta(2,10)",0.024,2.121545167842192
"Beta(2,10)",0.025,2.1896476308741746
"Beta(2,10)",0.026000000000000002,2.2562989512171385
"Beta(2,10)",0.027,2.32151774814486
"Beta(2,10)",0.028,2.3853224591732918
"Beta(2,10)",0.029,2.447731341475182
"Beta(2,10)",0.03,2.5087624732859264
"Beta(2,10)",0.031,2.568433755300671
"Beta(2,10)",0.032,2.6267629120627265
"Beta(2,10)",0.033,2.6837674933433324
"Beta(2,10)",0.034,2.7394648755128084
"Beta(2,10)",0.035,2.793872262903134
"Beta(2,10)",0.036000000000000004,2.8470066891620047
"Beta(2,10)",0.037,2.898885018598404
"Beta(2,10)",0.038,2.949523947519721
"Beta(2,10)",0.039,2.9989400055604785
"Beta(2,10)",0.04,3.047149557002692
"Beta(2,10)",0.041,3.0941688020878977
"Beta(2,10)",0.042,3.1400137783209225
"Beta(2,10)",0.043000000000000003,3.1847003617653886
"Beta(2,10)",0.044,3.228244268331033
"Beta(2,10)",0.045,3.270661055052863
"Beta(2,10)",0.046,3.3119661213621985
"Beta(2,10)",0.047,3.3521747103496207
"Beta(2,10)",0.048,3.3913019100198873
"Beta(2,10)",0.049,3.429362654538862
"Beta(2,10)",0.05,3.4663717254724564
"Beta(2,10)",0.051000000000000004,3.5023437530176738
"Beta(2,10)",0.052000000000000005,3.5372932172257534
"Beta(2,10)",0.053,3.571234449217493
"Beta(2,10)",0.054,3.60418163239074
"Beta(2,10)",0.055,3.636148803620139
"Beta(2,10)",0.056,3.667149854449151
"Beta(2,10)",0.057,3.6971985322743635
"Beta(2,10)",0.058,3.726308441522188
"Beta(2,10)",0.059000000000000004,3.7544930448179072
"Beta(2,10)",0.06,3.781765664147172
"Beta(2,10)",0.061,3.8081394820099694
"Beta(2,10)",0.062,3.8336275425670503
"Beta(2,10)",0.063,3.8582427527789838
"Beta(2,10)",0.064,3.8819978835376587
"Beta(2,10)",0.065,3.9049055707905636
