distribution,notaiton,description
"Mix(Exp(1);Shifted(Exp(1),10))","Mix(Exp(1);Shifted(Exp(1),10))","Mix(Exp(1);Shifted(Exp(1),10))"
"Mix(Beta(2,3);Shifted(Beta(2,3),10))","Mix(Beta(2,3);Shifted(Beta(2,3),10))","Mix(Beta(2,3);Shifted(Beta(2,3),10))"
"Mix(Beta(2,9);Shifted(Beta(2,9),10))","Mix(Beta(2,9);Shifted(Beta(2,9),10))","Mix(Beta(2,9);Shifted(Beta(2,9),10))"
"Mix(Gumbel(0,1);Shifted(Gumbel(0,1),10))","Mix(Gumbel(0,1);Shifted(Gumbel(0,1),10))","Mix(Gumbel(0,1);Shifted(Gumbel(0,1),10))"
"Mix(Pareto(1,0.5);Shifted(Pareto(1,0.5),10))","Mix(Pareto(1,0.5);Shifted(Pareto(1,0.5),10))","Mix(Pareto(1,0.5);Shifted(Pareto(1,0.5),10))"
"Mix(Pareto(1,1);Shifted(Pareto(1,1),10))","Mix(Pareto(1,1);Shifted(Pareto(1,1),10))","Mix(Pareto(1,1);Shifted(Pareto(1,1),10))"
"Mix(Pareto(1,10);Shifted(Pareto(1,10),10))","Mix(Pareto(1,10);Shifted(Pareto(1,10),10))","Mix(Pareto(1,10);Shifted(Pareto(1,10),10))"
"Mix(Pareto(1,100);Shifted(Pareto(1,100),10))","Mix(Pareto(1,100);Shifted(Pareto(1,100),10))","Mix(Pareto(1,100);Shifted(Pareto(1,100),10))"
"Mix(Weibull(1,0.5);Shifted(Weibull(1,0.5),10))","Mix(Weibull(1,0.5);Shifted(Weibull(1,0.5),10))","Mix(Weibull(1,0.5);Shifted(Weibull(1,0.5),10))"
"Mix(Weibull(1,1);Shifted(Weibull(1,1),10))","Mix(Weibull(1,1);Shifted(Weibull(1,1),10))","Mix(Weibull(1,1);Shifted(Weibull(1,1),10))"
"Mix(Weibull(1,1.5);Shifted(Weibull(1,1.5),10))","Mix(Weibull(1,1.5);Shifted(Weibull(1,1.5),10))","Mix(Weibull(1,1.5);Shifted(Weibull(1,1.5),10))"
"Mix(Weibull(1,2);Shifted(Weibull(1,2),10))","Mix(Weibull(1,2);Shifted(Weibull(1,2),10))","Mix(Weibull(1,2);Shifted(Weibull(1,2),10))"
"Mix(Frechet(0,1,0.5);Shifted(Frechet(0,1,0.5),10))","Mix(Frechet(0,1,0.5);Shifted(Frechet(0,1,0.5),10))","Mix(Frechet(0,1,0.5);Shifted(Frechet(0,1,0.5),10))"
"Mix(Frechet(0,1,1);Shifted(Frechet(0,1,1),10))","Mix(Frechet(0,1,1);Shifted(Frechet(0,1,1),10))","Mix(Frechet(0,1,1);Shifted(Frechet(0,1,1),10))"
"Mix(Frechet(0,1,5);Shifted(Frechet(0,1,5),10))","Mix(Frechet(0,1,5);Shifted(Frechet(0,1,5),10))","Mix(Frechet(0,1,5);Shifted(Frechet(0,1,5),10))"
"Mix(Frechet(0,1,10);Shifted(Frechet(0,1,10),10))","Mix(Frechet(0,1,10);Shifted(Frechet(0,1,10),10))","Mix(Frechet(0,1,10);Shifted(Frechet(0,1,10),10))"
"Mix(LogNormal(0,0.5^2);Shifted(LogNormal(0,0.5^2),10))","Mix(LogNormal(0,0.5^2);Shifted(LogNormal(0,0.5^2),10))","Mix(LogNormal(0,0.5^2);Shifted(LogNormal(0,0.5^2),10))"
"Mix(LogNormal(0,1^2);Shifted(LogNormal(0,1^2),10))","Mix(LogNormal(0,1^2);Shifted(LogNormal(0,1^2),10))","Mix(LogNormal(0,1^2);Shifted(LogNormal(0,1^2),10))"
"Mix(LogNormal(0,1.5^2);Shifted(LogNormal(0,1.5^2),10))","Mix(LogNormal(0,1.5^2);Shifted(LogNormal(0,1.5^2),10))","Mix(LogNormal(0,1.5^2);Shifted(LogNormal(0,1.5^2),10))"
"Mix(LogNormal(0,3^2);Shifted(LogNormal(0,3^2),10))","Mix(LogNormal(0,3^2);Shifted(LogNormal(0,3^2),10))","Mix(LogNormal(0,3^2);Shifted(LogNormal(0,3^2),10))"
