estimator,quantile,n,distribution,efficiency
HD,0.01,3,"Beta(2,2)",1.0133682760035974
HD,0.01,3,"Beta(3,3)",1.0128262236402228
HD,0.01,3,"Beta(4,4)",1.0123023975120218
HD,0.01,3,"Beta(5,5)",1.0119926584334198
HD,0.01,3,"U(0,1)",1.0154095634578528
HD,0.01,3,"N(0,1)",1.0107291586467881
HD,0.01,3,"DE(0,1)",1.007354614976406
HD,0.01,3,"Cauchy(0,1)",0.9854373524631826
HD,0.01,3,"T(2)",1.0030570550724198
HD,0.01,3,"T(3)",1.005396614768598
HD,0.01,3,"T(4)",1.0070706098999507
HD,0.01,3,"T(5)",1.007926940982594
HD,0.01,4,"Beta(2,2)",1.0192017237287045
HD,0.01,4,"Beta(3,3)",1.0176549500791947
HD,0.01,4,"Beta(4,4)",1.0171447281082902
HD,0.01,4,"Beta(5,5)",1.0162525637303723
HD,0.01,4,"U(0,1)",1.0234649963113875
HD,0.01,4,"N(0,1)",1.0145711520053997
HD,0.01,4,"DE(0,1)",1.009889931743067
HD,0.01,4,"Cauchy(0,1)",0.9701530428653984
HD,0.01,4,"T(2)",0.997991385574168
HD,0.01,4,"T(3)",1.0069227834895262
HD,0.01,4,"T(4)",1.0083760675737647
HD,0.01,4,"T(5)",1.0103782587876222
HD,0.01,5,"Beta(2,2)",1.0251222832592852
HD,0.01,5,"Beta(3,3)",1.0224781541373296
HD,0.01,5,"Beta(4,4)",1.021017656631685
HD,0.01,5,"Beta(5,5)",1.0206536078282595
HD,0.01,5,"U(0,1)",1.030244273041808
HD,0.01,5,"N(0,1)",1.0182051186062093
HD,0.01,5,"DE(0,1)",1.012587278070702
HD,0.01,5,"Cauchy(0,1)",0.9632983144036501
HD,0.01,5,"T(2)",0.9910992011356534
HD,0.01,5,"T(3)",1.0059656235823615
HD,0.01,5,"T(4)",1.0106931539031339
HD,0.01,5,"T(5)",1.012365762271719
HD,0.01,6,"Beta(2,2)",1.0296929840244704
HD,0.01,6,"Beta(3,3)",1.0275699240923974
HD,0.01,6,"Beta(4,4)",1.026487351265085
HD,0.01,6,"Beta(5,5)",1.0250043636775514
HD,0.01,6,"U(0,1)",1.039970996090033
HD,0.01,6,"N(0,1)",1.0221297705988528
HD,0.01,6,"DE(0,1)",1.0147290514777514
HD,0.01,6,"Cauchy(0,1)",0.9302112880237233
HD,0.01,6,"T(2)",0.9924208280681046
HD,0.01,6,"T(3)",1.0055909028565702
HD,0.01,6,"T(4)",1.011864650672542
HD,0.01,6,"T(5)",1.013401880750924
HD,0.01,7,"Beta(2,2)",1.036255124190467
HD,0.01,7,"Beta(3,3)",1.0319764029153744
HD,0.01,7,"Beta(4,4)",1.031935790770696
HD,0.01,7,"Beta(5,5)",1.0300062166522723
HD,0.01,7,"U(0,1)",1.0457215259739072
HD,0.01,7,"N(0,1)",1.0263052292016537
HD,0.01,7,"DE(0,1)",1.0166738601594403
HD,0.01,7,"Cauchy(0,1)",0.9144718871431242
HD,0.01,7,"T(2)",0.9830840424315689
HD,0.01,7,"T(3)",1.0036847486822063
HD,0.01,7,"T(4)",1.0115076968727212
HD,0.01,7,"T(5)",1.0147931396570502
HD,0.01,8,"Beta(2,2)",1.0419133367165825
HD,0.01,8,"Beta(3,3)",1.038694725342055
HD,0.01,8,"Beta(4,4)",1.0352880823020438
HD,0.01,8,"Beta(5,5)",1.034267992797724
HD,0.01,8,"U(0,1)",1.0527787239412614
HD,0.01,8,"N(0,1)",1.029227278005024
HD,0.01,8,"DE(0,1)",1.0201324188594927
HD,0.01,8,"Cauchy(0,1)",0.9028188182483902
HD,0.01,8,"T(2)",0.9778739057331258
HD,0.01,8,"T(3)",1.0009639299862498
HD,0.01,8,"T(4)",1.0121903428837011
HD,0.01,8,"T(5)",1.0163726902635963
HD,0.01,9,"Beta(2,2)",1.047491277645671
HD,0.01,9,"Beta(3,3)",1.0430871381142521
HD,0.01,9,"Beta(4,4)",1.0414133990247212
