index,left,right,height,water,isMode,isPeak,isLowland
0,-3.93,-3.90,0.04601,0.04601,false,false,false
1,-3.90,-3.86,0.02349,0.02349,false,false,false
2,-3.86,-3.81,0.01982,0.01982,false,false,false
3,-3.81,-3.76,0.01956,0.01956,false,false,false
4,-3.76,-3.71,0.01967,0.01967,false,false,false
5,-3.71,-3.66,0.01979,0.01979,false,false,false
6,-3.66,-3.61,0.02035,0.02035,false,false,false
7,-3.61,-3.56,0.02152,0.02152,false,false,false
8,-3.56,-3.52,0.02307,0.02307,false,false,false
9,-3.52,-3.48,0.02452,0.02452,false,false,false
10,-3.48,-3.44,0.02545,0.02545,false,false,false
11,-3.44,-3.40,0.02586,0.02586,false,false,false
12,-3.40,-3.36,0.02605,0.02605,false,false,false
13,-3.36,-3.33,0.02641,0.02641,false,false,false
14,-3.33,-3.29,0.02723,0.02723,false,false,false
15,-3.29,-3.25,0.02864,0.02864,false,false,false
16,-3.25,-3.22,0.03065,0.03065,false,false,false
17,-3.22,-3.19,0.03311,0.03311,false,false,false
18,-3.19,-3.16,0.03570,0.03570,false,false,false
19,-3.16,-3.14,0.03792,0.03792,false,false,false
20,-3.14,-3.11,0.03916,0.03916,false,true,false
21,-3.11,-3.09,0.03902,0.03916,false,false,false
22,-3.09,-3.06,0.03748,0.03916,false,false,false
23,-3.06,-3.03,0.03495,0.03916,false,false,false
24,-3.03,-3.00,0.03195,0.03916,false,false,false
25,-3.00,-2.96,0.02896,0.03916,false,false,false
26,-2.96,-2.93,0.02623,0.03916,false,false,false
27,-2.93,-2.88,0.02390,0.03916,false,false,false
28,-2.88,-2.84,0.02198,0.03916,false,false,false
29,-2.84,-2.79,0.02044,0.03916,false,false,false
30,-2.79,-2.74,0.01923,0.03916,false,false,false
31,-2.74,-2.68,0.01832,0.03916,false,false,false
32,-2.68,-2.63,0.01764,0.03916,false,false,false
33,-2.63,-2.57,0.01718,0.03916,false,false,false
34,-2.57,-2.51,0.01690,0.03916,false,false,false
35,-2.51,-2.45,0.01677,0.03916,false,false,false
36,-2.45,-2.39,0.01676,0.03916,false,false,false
37,-2.39,-2.33,0.01686,0.03916,false,false,false
38,-2.33,-2.27,0.01703,0.03916,false,false,false
39,-2.27,-2.21,0.01724,0.03916,false,false,false
40,-2.21,-2.16,0.01746,0.03916,false,false,false
41,-2.16,-2.10,0.01767,0.03916,false,false,false
42,-2.10,-2.04,0.01783,0.03916,false,false,false
43,-2.04,-1.99,0.01793,0.03916,false,false,false
44,-1.99,-1.93,0.01797,0.03916,false,true,false
45,-1.93,-1.88,0.01797,0.03916,false,false,false
46,-1.88,-1.82,0.01793,0.03916,false,false,false
47,-1.82,-1.77,0.01789,0.03916,false,false,false
48,-1.77,-1.71,0.01787,0.03916,false,false,false
49,-1.71,-1.65,0.01790,0.03916,false,false,false
50,-1.65,-1.60,0.01801,0.03916,false,false,false
51,-1.60,-1.54,0.01823,0.03916,false,false,false
52,-1.54,-1.49,0.01857,0.03916,false,false,false
53,-1.49,-1.44,0.01905,0.03916,false,false,false
54,-1.44,-1.39,0.01969,0.03916,false,false,false
55,-1.39,-1.34,0.02050,0.03916,false,false,false
56,-1.34,-1.29,0.02151,0.03916,false,false,false
57,-1.29,-1.25,0.02273,0.03916,false,false,false
58,-1.25,-1.21,0.02416,0.03916,false,false,false
59,-1.21,-1.17,0.02582,0.03916,false,false,false
60,-1.17,-1.13,0.02772,0.03916,false,false,false
61,-1.13,-1.10,0.02983,0.03916,false,false,false
62,-1.10,-1.07,0.03214,0.03916,false,false,false
63,-1.07,-1.04,0.03462,0.03916,false,false,false
64,-1.04,-1.01,0.03721,0.03916,false,false,false
65,-1.01,-0.98,0.03984,0.03984,false,false,false
66,-0.98,-0.96,0.04242,0.04242,false,false,false
67,-0.96,-0.94,0.04485,0.04485,false,false,false
68,-0.94,-0.92,0.04706,0.04706,false,false,false
69,-0.92,-0.90,0.04896,0.04896,false,false,false
70,-0.90,-0.88,0.05051,0.05051,false,false,false
71,-0.88,-0.86,0.05168,0.05168,false,false,false
72,-0.86,-0.84,0.05248,0.05248,false,false,false
73,-0.84,-0.82,0.05293,0.05293,false,false,false
74,-0.82,-0.80,0.05308,0.05308,false,true,false
75,-0.80,-0.78,0.05299,0.05308,false,false,false
76,-0.78,-0.76,0.05270,0.05308,false,false,false
77,-0.76,-0.74,0.05227,0.05308,false,false,false
78,-0.74,-0.73,0.05175,0.05308,false,false,false
79,-0.73,-0.71,0.05118,0.05308,false,false,false
80,-0.71,-0.69,0.05059,0.05308,false,false,false
81,-0.69,-0.67,0.05000,0.05308,false,false,false
82,-0.67,-0.65,0.04945,0.05308,false,false,false
83,-0.65,-0.63,0.04896,0.05308,false,false,false
