es,bm,mw
0.1,0.0162,0.01314
0.15,0.02462,0.02116
0.2,0.03966,0.03224
0.25,0.05588,0.04622
0.3,0.07758,0.06814
0.35,0.11382,0.09584
0.4,0.14974,0.12916
0.45,0.1979,0.17526
0.5,0.2541,0.22586
0.55,0.31764,0.28526
0.6,0.38294,0.3516
0.65,0.45662,0.42238
0.7,0.53136,0.49558
0.75,0.60366,0.56376
0.8,0.66794,0.6374
0.85,0.73518,0.70488
0.9,0.79224,0.76302
0.95,0.8399,0.81554
1,0.88178,0.86094
1.05,0.91402,0.89808
1.1,0.93926,0.9262
1.15,0.9595,0.94948
1.2,0.97196,0.96616
1.25,0.98262,0.97742
1.3,0.98912,0.98614
1.35,0.99322,0.99146
1.4,0.99608,0.99468
1.45,0.99752,0.99672
1.5,0.99856,0.99834
1.55,0.99918,0.99898
1.6,0.99964,0.9995
1.65,0.99978,0.99986
1.7,0.9999,0.99994
1.75,0.99992,0.99988
1.8,0.99998,1
1.85,0.99998,1
1.9,1,0.99998
1.95,1,1
2,1,1
