n,sd,mad,sn,qn
3,0.99978,0.99921,1.00039,0.99928
4,1.00003,1.00002,0.99897,0.99997
5,1.00017,1.00043,1.00228,1.00036
6,1.00016,0.99981,0.99905,1.00031
7,1.00009,1,0.99964,0.99988
8,1.0001,1.00002,1.00011,1.00001
9,1.00016,1.00022,0.99964,1.00023
10,1.00001,1.00009,0.99304,1.00004
11,1.00002,0.99995,0.99379,1.00003
12,1.00007,1.00004,0.99377,1.00015
13,1.00017,1.0004,1.00044,1.00025
14,1.00017,1.00009,0.99519,1.0001
15,1.00004,0.99994,1.00357,1.0001
16,1.00001,0.99984,0.99609,1
17,1.00002,0.99999,1.00552,1.00005
18,0.99998,0.99992,0.99715,0.99996
19,0.99993,0.99987,1.00654,0.99996
20,0.99997,0.99994,0.99791,0.99989
21,1,0.99995,1.0071,0.99993
22,1.00011,1.00009,0.99874,1.00011
23,1.00007,1.00011,1.00747,1.00005
24,0.99998,1.00005,0.99906,1
25,1.00003,1.00001,1.00753,1.00004
26,1.00004,0.99993,0.99937,1.00002
27,1.00001,0.99997,1.00747,1.00001
28,0.99999,1.00005,0.99971,1.00001
29,0.99991,0.99998,1.00718,0.99985
30,1.00004,1.00011,0.99998,1.00005
31,1,1.0002,1.00721,1
32,1.00006,1.00034,1.00012,1.00006
33,1.00005,1.00023,1.00696,1.00002
34,1.00004,1.0003,1.00025,1.00008
35,1.00006,1.00033,1.00686,1.00007
36,0.99999,1.00029,1.00026,0.99999
37,1.00005,1.00045,1.00666,1.00008
38,0.99996,1.00038,1.00032,1.00003
39,1.00001,1.00038,1.00644,1.00005
40,0.99999,1.0003,1.00036,0.99995
41,0.99997,1.00017,1.00604,0.99992
42,0.99998,1.00038,1.00041,0.99998
43,0.9999,1.00022,1.00584,0.99992
44,0.99999,1.00024,1.00038,0.99999
45,1.00005,1.00041,1.00575,1
46,0.99993,1.00018,1.00031,0.99986
47,0.99992,1.00025,1.00546,0.99991
48,0.99998,1.00036,1.00045,0.99997
49,1.00004,1.00048,1.00548,1.00006
50,1.00005,1.00039,1.00052,1.00008
51,0.99996,1.00032,1.00515,0.99994
60,1.00007,1.00042,1.00055,1.00011
61,0.99998,1.00038,1.0044,1.00001
70,0.99997,1.00021,1.00033,0.99995
71,1.00001,1.00019,1.00376,1.00001
80,0.99994,1.00028,1.00029,0.99997
81,0.99999,1.00023,1.00325,1
90,1.00004,1.00027,1.0003,1.00002
91,0.99996,1.00017,1.0029,0.99997
100,1,1.00008,1.00018,0.99998
101,0.99997,1.00014,1.00255,0.99996
110,1,1.00014,1.00016,0.99997
111,1,1.00008,1.00229,1
120,0.99998,1.0001,1.00011,0.99998
121,1.00001,1.00018,1.00213,1.00001
130,0.99997,1.00007,1.00007,0.99997
131,1.00001,1.00005,1.00189,1
140,1,1.00007,1.00005,0.99999
141,1.00005,1.00013,1.00178,1.00003
150,0.99997,1,0.99998,0.99994
151,0.99996,1.00006,1.00157,0.99997
160,1,1.0001,1.00003,0.99999
161,1,1.00008,1.0015,1.00001
170,0.99998,1.00003,1.00001,0.99999
171,1.00001,1.00008,1.0014,1.00001
180,1,1.00004,0.99999,1
181,1.00005,1.0001,1.00135,1.00004
190,1.00002,1.00009,1.00001,1.00001
191,0.99995,1.00002,1.00119,0.99996
200,0.99998,1,0.99995,0.99997
201,1.00004,1.0001,1.00119,1.00006
