n,mad,sn,qn
3,0.40056,0.39961,0.4005
4,0.54508,0.61005,0.60883
5,0.38591,0.4343,0.45723
6,0.4636,0.53221,0.61139
7,0.37928,0.47172,0.50996
8,0.43342,0.51068,0.62214
9,0.37609,0.50004,0.55606
10,0.41836,0.51644,0.63429
11,0.37439,0.52677,0.58308
12,0.40849,0.51998,0.64626
13,0.37316,0.53525,0.60392
14,0.40201,0.52536,0.65607
15,0.37222,0.54263,0.62221
16,0.39739,0.53126,0.66562
17,0.37139,0.54889,0.63675
18,0.39366,0.53715,0.67473
19,0.37107,0.55365,0.65006
20,0.39082,0.54198,0.68261
21,0.37103,0.5586,0.66187
22,0.38881,0.5466,0.69007
23,0.37045,0.5621,0.67145
24,0.38668,0.55075,0.69604
25,0.37021,0.56561,0.68085
26,0.38536,0.55466,0.7029
27,0.36995,0.56805,0.68823
28,0.3835,0.55716,0.70705
29,0.36956,0.57074,0.69561
30,0.38197,0.55959,0.71301
31,0.36961,0.57241,0.70165
32,0.38113,0.56236,0.71696
33,0.36911,0.57396,0.70695
34,0.38071,0.56534,0.72204
35,0.36918,0.57624,0.71234
36,0.37966,0.56656,0.72613
37,0.36942,0.57783,0.7176
38,0.37876,0.56863,0.72929
39,0.3688,0.5786,0.72118
40,0.37813,0.57007,0.73307
41,0.36864,0.57944,0.72553
42,0.37778,0.57167,0.73592
43,0.36902,0.58136,0.72991
44,0.37771,0.57314,0.73867
45,0.36872,0.58165,0.73254
46,0.37698,0.57415,0.74231
47,0.36845,0.58213,0.73608
48,0.37643,0.57513,0.74428
49,0.3681,0.5827,0.73894
50,0.37673,0.57648,0.74764
51,0.36879,0.58407,0.74207
60,0.37452,0.57965,0.75597
61,0.36842,0.58606,0.75376
70,0.37376,0.58194,0.76447
71,0.36843,0.58793,0.76228
80,0.37277,0.58361,0.77094
81,0.36827,0.58799,0.76872
90,0.37247,0.58455,0.77612
91,0.3679,0.58805,0.77317
100,0.37184,0.58492,0.77968
101,0.36814,0.58838,0.778
110,0.37137,0.58529,0.78308
111,0.36806,0.58864,0.78142
120,0.37093,0.58538,0.78582
121,0.36853,0.58878,0.78514
130,0.37063,0.58551,0.78816
131,0.368,0.58835,0.78685
140,0.3708,0.58553,0.79057
141,0.36793,0.58861,0.78943
150,0.37045,0.58567,0.79202
151,0.36798,0.58804,0.79157
160,0.3704,0.58572,0.79443
161,0.36817,0.58822,0.79363
170,0.37031,0.58572,0.79571
171,0.36781,0.58766,0.79449
180,0.37001,0.5859,0.79686
181,0.36751,0.58749,0.79582
190,0.36977,0.58513,0.79752
191,0.36747,0.58678,0.79695
200,0.3696,0.58556,0.79917
201,0.36806,0.58749,0.79857
