estimator,quantile,n,distribution,efficiency
HD,0.02,2,"Beta(2,10)",1.0221207700131998
HD,0.02,2,"Uniform(0,1)",1.0157057934412552
HD,0.02,2,"Normal(0,1^2)",1.0142804483696428
HD,0.02,2,"Weibull(1,2)",1.019821198749246
HD,0.02,2,"Cauchy(0,1)",0.987733404648629
HD,0.02,2,"Pareto(1,0.5)",18.567337018943597
HD,0.02,2,"LogNormal(0,3^2)",2.4191650942393714
HD,0.02,2,"Exp(1) + Outliers",7.818363095691199
HD,0.02,3,"Beta(2,10)",1.0347553033056829
HD,0.02,3,"Uniform(0,1)",1.0307487489840037
HD,0.02,3,"Normal(0,1^2)",1.0222040673560142
HD,0.02,3,"Weibull(1,2)",1.030706995126284
HD,0.02,3,"Cauchy(0,1)",0.9474237324948027
HD,0.02,3,"Pareto(1,0.5)",0.076034227718836
HD,0.02,3,"LogNormal(0,3^2)",1.1900771436076043
HD,0.02,3,"Exp(1) + Outliers",10.774537552726997
HD,0.02,4,"Beta(2,10)",1.0464247203086363
HD,0.02,4,"Uniform(0,1)",1.0456306410437615
HD,0.02,4,"Normal(0,1^2)",1.0294366076568549
HD,0.02,4,"Weibull(1,2)",1.0408504867368498
HD,0.02,4,"Cauchy(0,1)",0.9145052537457399
HD,0.02,4,"Pareto(1,0.5)",0.02786185469295617
HD,0.02,4,"LogNormal(0,3^2)",1.2459007502035517
HD,0.02,4,"Exp(1) + Outliers",0.2638581067497657
HD,0.02,5,"Beta(2,10)",1.0571959503362727
HD,0.02,5,"Uniform(0,1)",1.0608433240931132
HD,0.02,5,"Normal(0,1^2)",1.0363416460540587
HD,0.02,5,"Weibull(1,2)",1.0536682359507652
HD,0.02,5,"Cauchy(0,1)",0.8853822653637413
HD,0.02,5,"Pareto(1,0.5)",0.42550895702510827
HD,0.02,5,"LogNormal(0,3^2)",1.1775444269031308
HD,0.02,5,"Exp(1) + Outliers",0.8202290791994944
HD,0.02,6,"Beta(2,10)",1.068658765754286
HD,0.02,6,"Uniform(0,1)",1.0776914316603874
HD,0.02,6,"Normal(0,1^2)",1.0432114476286831
HD,0.02,6,"Weibull(1,2)",1.0632330329919886
HD,0.02,6,"Cauchy(0,1)",0.8574243141402689
HD,0.02,6,"Pareto(1,0.5)",1.034721368730283
HD,0.02,6,"LogNormal(0,3^2)",1.2097804497411997
HD,0.02,6,"Exp(1) + Outliers",0.9840737439345987
HD,0.02,7,"Beta(2,10)",1.081945591511773
HD,0.02,7,"Uniform(0,1)",1.0930695756829756
HD,0.02,7,"Normal(0,1^2)",1.0483280993018447
HD,0.02,7,"Weibull(1,2)",1.075730161216388
HD,0.02,7,"Cauchy(0,1)",0.831932704490755
HD,0.02,7,"Pareto(1,0.5)",1.1354159467388094
HD,0.02,7,"LogNormal(0,3^2)",1.2041800870320156
HD,0.02,7,"Exp(1) + Outliers",1.0881816695087783
HD,0.02,8,"Beta(2,10)",1.0937687936483012
HD,0.02,8,"Uniform(0,1)",1.1083761560555079
HD,0.02,8,"Normal(0,1^2)",1.0545425910203348
HD,0.02,8,"Weibull(1,2)",1.085631727004996
HD,0.02,8,"Cauchy(0,1)",0.8005920125259349
HD,0.02,8,"Pareto(1,0.5)",1.1591936740147235
HD,0.02,8,"LogNormal(0,3^2)",1.303654873018934
HD,0.02,8,"Exp(1) + Outliers",1.1233422741673904
HD,0.02,9,"Beta(2,10)",1.1061084079346202
HD,0.02,9,"Uniform(0,1)",1.124042685000631
HD,0.02,9,"Normal(0,1^2)",1.0580627715085555
HD,0.02,9,"Weibull(1,2)",1.0948132894668618
HD,0.02,9,"Cauchy(0,1)",0.7730189914809491
HD,0.02,9,"Pareto(1,0.5)",1.1883560012700534
HD,0.02,9,"LogNormal(0,3^2)",1.2693130473800323
HD,0.02,9,"Exp(1) + Outliers",1.1396648843157
